PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,crime_rate,school_quality
528186170,1342,219500,120,RL,48.0,6240,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,Gd,TA,PConc,4,3,1,6,24.0,1,0.0,1318.0,1342.0,GasA,Ex,Y,SBrkr,1342,0,0,0,0,2,0,2,1,Gd,6,Typ,1,4,Attchd,2006,2,2,550.0,3,3,Y,0,35,0,0,0,0,0,0,None,0,2,2008,WD ,Normal,5,10
923426070,1274,136000,60,RL,63.0,10475,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,4,3,1,3,458.0,1,0.0,166.0,624.0,GasA,Gd,Y,SBrkr,624,650,0,0,0,1,1,3,1,TA,6,Typ,0,0,Detchd,1991,1,2,576.0,3,3,Y,22,0,0,0,0,0,0,2,None,0,3,2010,WD ,Normal,3,6
902204080,861,80000,30,RM,62.0,7404,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,2,3,1,1,0.0,1,0.0,861.0,861.0,GasA,TA,Y,SBrkr,861,0,0,0,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1920,1,2,288.0,3,3,N,0,0,128,0,0,0,0,0,None,0,11,2009,Oth,Normal,0,5
535105100,1394,159000,20,RL,0.0,9500,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,4,3,1,4,609.0,1,0.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394,0,0,1,0,1,1,3,1,TA,6,Typ,2,4,Attchd,1963,2,2,514.0,3,3,Y,0,76,0,0,185,0,0,0,None,0,7,2009,WD ,Normal,1,5
907405020,1536,214000,20,RL,70.0,9135,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,4,3,4,6,810.0,1,0.0,726.0,1536.0,GasA,Ex,Y,SBrkr,1536,0,0,1,0,2,0,3,1,Gd,7,Typ,0,0,Attchd,2002,2,2,532.0,3,3,Y,192,74,0,0,0,0,0,0,None,0,12,2008,WD ,Normal,1,3
531382110,1680,163000,60,RL,50.0,8480,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,4,3,1,6,602.0,1,0.0,284.0,886.0,GasA,Ex,Y,SBrkr,886,794,0,0,1,2,1,3,1,Gd,7,Typ,0,0,Attchd,1993,2,2,474.0,3,3,Y,144,96,0,0,0,0,0,0,None,0,10,2008,WD ,Normal,5,2
906380120,1274,203000,20,RL,68.0,8814,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,4,3,1,6,925.0,1,0.0,349.0,1274.0,GasA,Ex,Y,SBrkr,1274,0,0,1,0,2,0,3,1,Gd,6,Typ,0,0,Attchd,2005,2,2,508.0,3,3,Y,264,98,0,0,0,0,0,0,None,0,1,2007,New,Partial,1,3
909101060,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,3,3,1,4,41.0,1,0.0,823.0,864.0,GasA,TA,N,FuseF,864,0,0,1,0,1,0,2,1,TA,5,Typ,0,0,NoGarage,0,0,0,0.0,0,0,N,0,0,100,0,0,0,0,0,None,0,9,2008,WD ,Normal,1,4
534152050,1610,205000,20,RL,0.0,10603,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,TA,TA,PConc,3,3,2,5,1200.0,1,0.0,410.0,1610.0,GasA,Gd,Y,SBrkr,1610,0,0,1,0,2,0,3,1,Gd,6,Typ,2,3,Attchd,1977,2,2,480.0,3,3,Y,168,68,0,0,0,0,0,0,None,0,2,2010,WD ,Normal,1,6
923252075,1091,131250,80,RL,62.0,7706,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,4,3,4,3,114.0,6,270.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091,0,0,0,1,1,0,2,1,TA,5,Typ,0,0,Attchd,1993,3,2,429.0,3,3,Y,280,0,0,0,0,0,0,0,Shed,700,8,2009,WD ,Normal,3,6
531376060,1486,181000,20,RL,65.0,7441,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,1461.0,1461.0,GasA,Ex,Y,SBrkr,1486,0,0,0,0,2,0,3,1,Gd,7,Typ,0,0,Attchd,2006,2,2,566.0,3,3,Y,0,32,0,0,0,0,0,0,None,0,6,2007,WD ,Normal,5,2
902201120,789,115000,20,RM,50.0,6000,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,3,3,1,5,104.0,4,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0,0,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1948,1,2,250.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,4,2008,WD ,Partial,0,5
923228080,1092,98000,160,RM,21.0,1477,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,3,3,1,6,358.0,1,0.0,188.0,546.0,GasA,Ex,Y,SBrkr,546,546,0,0,0,2,1,3,1,TA,6,Typ,0,0,NoGarage,0,0,0,0.0,0,0,Y,187,0,0,0,0,0,0,0,None,0,3,2008,WD ,Normal,3,6
902326030,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,3,2,1,1,0.0,1,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320,1320,0,0,0,1,1,4,1,Gd,8,Typ,1,4,Detchd,1880,1,2,864.0,3,3,N,181,0,386,0,0,0,0,0,None,0,5,2009,WD ,Normal,0,5
527451330,1092,105500,160,RM,21.0,1680,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,3,3,1,3,300.0,1,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,0,0,1,1,3,1,TA,6,Typ,0,0,Detchd,1971,1,2,320.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,3,2010,WD ,Normal,1,6
528218100,1458,168165,60,RL,58.0,13204,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,4,3,1,1,0.0,1,0.0,608.0,608.0,GasA,Ex,Y,SBrkr,608,850,0,0,0,2,0,3,1,Gd,6,Typ,0,0,BuiltIn,2006,3,2,454.0,3,3,Y,100,33,0,0,0,0,0,0,None,0,5,2007,New,Partial,5,10
916386140,1466,201000,20,RL,73.0,8925,Pave,0,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,4,6,16.0,1,0.0,1450.0,1466.0,GasA,Ex,Y,SBrkr,1466,0,0,0,0,2,0,3,1,Gd,7,Typ,0,0,Attchd,2007,3,2,610.0,3,3,Y,100,18,0,0,0,0,0,0,None,0,7,2009,WD ,Normal,3,6
533221090,1573,177500,160,FV,0.0,2117,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,Gd,TA,PConc,4,3,1,6,378.0,1,0.0,378.0,756.0,GasA,Ex,Y,SBrkr,769,804,0,0,0,2,1,3,1,Gd,5,Typ,0,0,Detchd,2000,1,2,440.0,3,3,Y,0,32,0,0,0,0,0,0,None,0,6,2010,WD ,Normal,6,7
534128010,2090,200000,60,RL,0.0,10382,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,1,0,2,1,3,1,TA,7,Typ,2,3,Attchd,1973,2,2,484.0,3,3,Y,235,204,228,0,0,0,0,0,Shed,350,11,2009,WD ,Normal,1,6
528106110,2046,450000,20,RL,105.0,15431,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,Ex,TA,PConc,5,3,3,6,1430.0,1,0.0,564.0,1994.0,GasA,Ex,Y,SBrkr,2046,0,0,1,0,2,1,2,1,Ex,7,Typ,2,4,Attchd,2005,3,2,878.0,3,3,Y,188,65,0,0,175,0,0,0,None,0,8,2007,WD ,Normal,5,10
902206260,886,91300,30,RM,50.0,5784,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,2,3,1,1,0.0,1,0.0,190.0,190.0,GasA,Gd,Y,FuseA,886,0,0,0,0,1,0,2,1,TA,4,Typ,0,0,Attchd,1938,1,2,273.0,3,3,Y,144,20,80,0,0,0,0,0,None,0,12,2009,WD ,Normal,0,5
528222090,1258,173500,20,RL,64.0,7697,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,1246.0,1246.0,GasA,Ex,Y,SBrkr,1258,0,0,0,0,2,0,3,1,Gd,6,Typ,0,0,Attchd,2007,2,2,462.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,8,2007,New,Partial,5,10
528218150,1324,199500,20,RL,100.0,18494,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,1,1,0.0,1,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,0,0,2,0,3,1,Gd,6,Typ,0,0,Attchd,2005,3,2,430.0,3,3,Y,36,23,0,0,0,0,0,0,None,0,1,2010,WD ,Normal,5,10
903400180,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,3,3,1,1,0.0,1,0.0,833.0,833.0,GasA,Gd,Y,SBrkr,1053,795,0,0,0,1,1,4,1,Gd,8,Typ,1,4,Detchd,1923,1,2,370.0,3,3,N,0,0,0,0,220,0,0,0,None,0,6,2008,WD ,Normal,0,5
535453210,1269,155000,20,RL,70.0,7931,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,1,4,374.0,2,532.0,363.0,1269.0,GasA,TA,Y,FuseA,1269,0,0,0,0,1,1,3,1,TA,6,Typ,1,2,Detchd,1960,1,2,308.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,6,2008,WD ,Normal,1,5
916386010,1346,220000,20,RL,88.0,11896,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,Gd,TA,PConc,4,3,1,6,78.0,1,0.0,1258.0,1336.0,GasA,Ex,Y,SBrkr,1346,0,0,1,0,2,0,3,1,Gd,6,Typ,1,3,Attchd,2008,3,2,660.0,3,3,Y,100,48,0,0,0,0,0,0,None,0,5,2010,WD ,Normal,3,6
907181090,1749,196000,60,RL,68.0,9272,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,1,6,500.0,1,0.0,342.0,842.0,GasA,Ex,Y,SBrkr,856,893,0,0,0,2,1,3,1,Gd,7,Typ,0,0,Attchd,1999,2,2,515.0,3,3,Y,140,85,0,0,0,0,0,0,None,0,6,2006,WD ,Normal,1,3
902206020,492,61500,30,RM,52.0,7830,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,2,3,1,2,416.0,1,0.0,76.0,492.0,GasA,TA,Y,SBrkr,492,0,0,1,0,1,0,1,1,TA,3,Typ,0,0,Detchd,1921,1,2,200.0,2,3,N,0,0,78,0,0,0,0,0,None,0,6,2006,WD ,Normal,0,5
527327050,2030,195000,60,RL,0.0,12046,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,TA,TA,CBlock,3,3,1,2,156.0,1,0.0,692.0,848.0,GasA,TA,Y,SBrkr,1118,912,0,0,0,2,1,4,1,Gd,8,Typ,1,3,Attchd,1976,3,2,551.0,3,3,Y,0,224,0,0,0,0,0,0,None,0,6,2007,WD ,Normal,1,6
527455250,988,129250,20,RL,65.0,7150,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,TA,TA,CBlock,3,3,1,4,725.0,1,0.0,263.0,988.0,GasA,TA,Y,SBrkr,988,0,0,1,0,1,0,3,1,TA,5,Typ,0,0,Detchd,1966,1,2,360.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,11,2007,WD ,Normal,1,5
528326110,2172,291000,60,RL,0.0,11000,Pave,0,Reg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,295.0,Gd,TA,PConc,5,3,2,1,0.0,1,0.0,1519.0,1519.0,GasA,Ex,Y,SBrkr,1533,639,0,0,0,2,1,4,1,Ex,8,Typ,1,3,BuiltIn,2000,2,2,687.0,3,3,Y,162,153,0,0,0,0,0,0,None,0,6,2008,WD ,Normal,6,7
914452190,1080,134000,20,RL,71.0,9187,Pave,0,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,1983,1983,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,3,3,1,5,336.0,1,0.0,748.0,1084.0,GasA,TA,Y,SBrkr,1080,0,0,0,0,1,1,3,1,TA,5,Typ,0,0,Attchd,1983,1,2,484.0,3,3,Y,120,0,158,0,0,0,0,0,None,0,6,2007,WD ,Normal,3,6
535425060,1312,186000,20,RL,76.0,11355,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,7,1958,2001,Gable,Tar&Grv,HdBoard,HdBoard,BrkFace,125.0,TA,TA,CBlock,3,3,1,4,637.0,1,0.0,675.0,1312.0,GasA,Ex,Y,SBrkr,1312,0,0,0,0,1,1,3,1,TA,6,Typ,1,4,Attchd,1958,2,2,495.0,3,3,Y,0,304,144,0,0,0,0,3,Othr,6500,4,2008,WD ,Normal,1,5
532376250,925,133500,20,RL,0.0,8638,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,3,3,1,5,181.0,1,0.0,744.0,925.0,GasA,Gd,Y,SBrkr,925,0,0,1,0,1,0,2,1,TA,5,Typ,0,0,Detchd,1963,1,2,484.0,3,3,Y,203,74,0,0,0,0,0,0,None,0,10,2006,WD ,Normal,5,2
535379110,1534,148000,70,RL,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,9,1895,1999,Gable,CompShg,Wd Sdng,HdBoard,None,0.0,TA,Gd,CBlock,4,3,4,1,0.0,1,0.0,736.0,736.0,GasA,Ex,Y,SBrkr,751,783,0,0,0,1,1,3,1,Gd,6,Typ,0,0,NoGarage,0,0,0,0.0,0,0,N,0,112,0,0,0,0,0,0,None,0,7,2007,WD ,Normal,0,5
528118010,2376,325300,60,RL,101.0,14215,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,5,3,4,1,0.0,1,0.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158,1218,0,0,0,3,1,4,1,Gd,9,Typ,1,4,BuiltIn,2005,2,2,853.0,3,3,Y,240,154,0,0,0,0,0,0,None,0,11,2006,New,Partial,5,10
528235160,1959,215000,60,RL,59.0,11796,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,4,1,0.0,1,0.0,847.0,847.0,GasA,Ex,Y,SBrkr,847,1112,0,0,0,2,1,4,1,Gd,8,Typ,1,4,BuiltIn,2004,3,2,434.0,3,3,Y,100,48,0,0,0,0,0,0,None,0,7,2007,WD ,Normal,5,10
905478030,1716,131000,50,RL,60.0,11409,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,1,2,292.0,1,0.0,476.0,768.0,GasA,Gd,Y,SBrkr,1148,568,0,0,0,1,1,3,1,TA,8,Min2,1,4,Attchd,1949,1,2,281.0,3,3,Y,0,0,0,0,160,0,0,0,None,0,1,2009,WD ,Normal,1,4
902106130,936,109500,30,RM,56.0,4485,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,3,3,1,4,579.0,1,0.0,357.0,936.0,GasA,TA,Y,SBrkr,936,0,0,1,0,1,0,2,1,TA,5,Typ,1,4,NoGarage,0,0,0,0.0,0,0,P,51,0,135,0,0,0,0,3,None,0,5,2010,WD ,Normal,0,5
