PID,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood
910204050,123000,152182.5300220095,-29182.53002200951,217 S HAZEL AVE,IDOTRR
906426195,240000,268291.1654992787,-28291.165499278693,601 CHELSEA CT,ClearCr
528120010,260116,288240.5951237047,-28124.595123704697,4120 VALLEY VIEW RD,NridgHt
908275110,103500,131544.19041592113,-28044.190415921126,246 S FRANKLIN AVE,Edwards
535126040,190000,217993.05465801712,-27993.05465801712,2613 DUFF AVE,NAmes
909254130,164000,191856.39836873108,-27856.398368731083,2227 STORM ST,Crawfor
535181140,130000,157510.68998371187,-27510.68998371187,2104 DOUGLAS AVE,NAmes
528292030,245000,272377.22804391553,-27377.22804391553,2417 GRANT CIR,Gilbert
527258020,260000,287258.9651290637,-27258.965129063698,3802 HOOVER AVE,StoneBr
527182190,212000,239208.3552818095,-27208.35528180949,3904 STONE BROOKE CIR,StoneBr
535353190,97500,123991.78931034617,-26491.78931034617,1404 GRAND AVE,NAmes
907192010,200000,226381.07142667985,-26381.071426679846,5301 CLEMENS BLVD,CollgCr
528228270,172500,198841.40918750232,-26341.409187502315,2421 WESTWIND DR,Blmngtn
528120160,274900,301069.8812348112,-26169.88123481121,3121 BECKLEY ST,NridgHt
906380060,272500,298330.9190704137,-25830.919070413685,5332 TABOR DR,CollgCr
905452160,128000,153745.98807397997,-25745.98807397997,322 CRANE AVE,Edwards
534104090,226000,251613.31287715165,-25613.31287715165,2634 SOMERSET DR,Somerst
528188150,154000,179556.9559822325,-25556.955982232495,3705 ASHTON DR,NridgHt
533208050,197000,222409.469615974,-25409.469615973998,2808 NORTHRIDGE LN,Somerst
528104010,345474,370861.8430129688,-25387.843012968777,3131 SEDWICK ST,NridgHt
533125120,334000,359044.7195221276,-25044.71952212759,3130 GREENWOOD RD,NoRidge
528431040,419005,444047.2390057107,-25042.239005710697,3217 KENT AVE,Somerst
535325460,167000,192035.67600023252,-25035.676000232517,1704 BURNETT AVE,NAmes
527276040,133000,157839.88347214647,-24839.883472146466,3805 DAWES DR,Gilbert
907295100,185000,209698.31717402302,-24698.317174023017,4551 TWAIN CIR,CollgCr
533253160,170000,194692.70533484477,-24692.705334844766,2056 PINEHURST DR,Greens
527175130,154204,178854.79629710352,-24650.796297103516,1711 TOP O HOLLOW RD,Gilbert
533205110,214000,238328.44650274236,-24328.446502742358,2825 BUCKINGHAM CT,Somerst
528458140,250000,273718.2748668402,-23718.27486684022,2731 CAMBRIDGE DR,Somerst
528488130,187750,211448.33083370945,-23698.33083370945,2606 CLAYTON DR,Somerst
907275010,220000,243684.46820204562,-23684.468202045624,4500 HEMINGWAY DR,CollgCr
527158090,160000,183639.70398340808,-23639.70398340808,3928 BROOKDALE CIR,Gilbert
527140090,180000,203599.20723961943,-23599.207239619427,4029 FLETCHER BLVD,StoneBr
902207130,12789,35990.04865245675,-23201.048652456753,931 MAXWELL AVE,OldTown
535402220,159000,182119.72426488993,-23119.724264889926,201 E O NEIL DR,NAmes
533206070,193800,216831.40536807256,-23031.405368072563,2807 BRISTOL DR,Somerst
909251050,147500,170456.3442145696,-22956.344214569603,2318 BAKER ST,Crawfor
534475250,175000,197869.44239474987,-22869.442394749873,1428 NORTHWESTERN AVE,NAmes
909254100,135000,157781.17778929134,-22781.177789291338,2215 STORM ST,Crawfor
527182170,207500,230063.52820864157,-22563.52820864157,3908 STONE BROOKE CIR,StoneBr
909452114,203135,225575.869931582,-22440.869931582012,1309 BIG BLUESTEM CT,Crawfor
528462040,182000,204334.9873003468,-22334.98730034681,2806 YORK DR,Somerst
528116010,296000,318258.7623456432,-22258.76234564319,4115 WEMBLEY AVE,NridgHt
533236060,170000,192170.47326186197,-22170.473261861975,2508 BRISTOL DR,Somerst
528106070,325000,346969.9382499041,-21969.93824990408,3209 WESTON DR,NridgHt
916403290,187500,209391.6574161579,-21891.65741615789,2721 BURR OAK CIR,Timber
916402015,150000,171719.88527529777,-21719.88527529777,2505 GREEN HILLS DR,Timber
535425070,157500,179185.39769833174,-21685.39769833174,423 PAULSON DR,NAmes
527212060,349265,370781.1028078558,-21516.102807855816,4008 EDGEWATER DR,StoneBr
907275150,275000,296491.08428312145,-21491.084283121454,4639 HEMINGWAY DR,CollgCr
527146030,236500,257958.74269660568,-21458.74269660568,4131 STONE BROOKE RD,StoneBr
905200160,80000,101445.44732015497,-21445.44732015497,1209 SCHOLL RD,Sawyer
905228020,89500,110918.61442344279,-21418.614423442792,1115 IOWA AVE,Sawyer
528138010,324000,345417.6212249956,-21417.621224995586,2908 WESTON DR,NridgHt
535175180,108538,129570.43564099778,-21032.435640997777,2304 KELLOGG AVE,NAmes
907420090,164990,185958.20890401158,-20968.208904011582,922 POE AVE,CollgCr
528363020,290000,310961.02312455914,-20961.023124559142,3226 SUMAC CIR,NoRidge
528315110,315000,335918.3428470055,-20918.342847005522,3110 BAYBERRY RD,NoRidge
908250090,99000,119829.88314244163,-20829.883142441628,3505 COY ST,Edwards
527226040,155000,175640.08477961645,-20640.084779616445,4014 DAWES DR,Gilbert
531369020,203000,223554.76787074277,-20554.76787074277,5412 MARYLAND ST,SawyerW
903233180,127500,148050.3733518856,-20550.373351885588,1020 ROOSEVELT AVE,BrkSide
533223030,156000,176494.52006035694,-20494.52006035694,2508 EATON AVE,Somerst
528363130,325000,345465.4912283239,-20465.491228323895,3102 ASPEN RD,NoRidge
535425010,242000,262301.4357444275,-20301.435744427494,1926 GEORGE ALLEN AVE,NAmes
534455030,141500,161684.03119059946,-20184.03119059946,1410 16TH ST,NAmes
528365090,290000,310123.2255555937,-20123.22555559367,3133 SYCAMORE RD,NoRidge
909101010,110000,130095.31760884752,-20095.317608847516,3008 WOOD ST,Edwards
528228290,174000,193739.5322102636,-19739.5322102636,2409 WESTWIND DR,Blmngtn
533236050,172500,192234.35837252584,-19734.358372525836,2510 BRISTOL DR,Somerst
909281030,104000,123540.64889815914,-19540.64889815914,2006 KILDEE ST,Crawfor
909251170,137450,156863.61883575405,-19413.618835754052,512 STANTON AVE,SWISU
528228465,159895,179287.2540527658,-19392.254052765813,4105 BRICKMAN AVE,Blmngtn
535475020,140000,159277.60226395822,-19277.602263958222,1531 LINDEN DR,NAmes
535353240,152500,171749.41384715933,-19249.413847159332,1432 GRAND AVE,NAmes
907285040,240000,259215.11216780072,-19215.11216780072,4612 CLEMENS BLVD,CollgCr
527301245,226500,245562.0276481277,-19062.027648127696,2211 BUCHANAN DR,NWAmes
527180040,171500,190540.03315365608,-19040.033153656084,3629 FLETCHER BLVD,Gilbert
528170040,437154,456157.8784251963,-19003.87842519628,3108 ROXBORO DR,NridgHt
902427040,87000,105994.04203169506,-18994.042031695062,418 E 6TH ST,OldTown
528382020,290000,308935.38547119795,-18935.38547119795,2913 ARROWWOOD CIR,NoRidge
528327070,327000,345916.4962456075,-18916.4962456075,3016 ALMOND RD,NoRidge
534475170,165000,183810.4107234719,-18810.410723471898,1304 NORTHWESTERN AVE,NAmes
528366070,263000,281804.36646110856,-18804.366461108555,3108 SYCAMORE RD,NoRidge
909425130,193000,211688.98016822865,-18688.98016822865,1025 GASKILL DR,Crawfor
905226130,150000,168632.3275442383,-18632.327544238302,1218 WISCONSIN AVE,Sawyer
528390020,301500,320063.939951568,-18563.939951568027,2948 CYPRESS CIR,NoRidge
916460060,195000,213551.68996222396,-18551.689962223958,2902 WHITE OAK DR,Timber
909101140,117000,135399.25630739753,-18399.256307397533,2812 WOOD ST,Edwards
535456010,119000,137388.16096741633,-18388.160967416334,1325 MAXWELL AVE 1327,NAmes
535126010,193500,211881.2415613092,-18381.2415613092,2529 NORTHWOOD DR,NAmes
533244040,312500,330712.0136314879,-18212.013631487906,2614 CAMDEN DR,Somerst
528435070,227000,245207.77124280686,-18207.771242806863,2514 DALTON ST,Somerst
902206220,129000,147111.3680004802,-18111.3680004802,916 DUFF AVE,OldTown
923203100,153500,171414.46332457432,-17914.463324574317,3320 EMERALD DR,Mitchel
528166060,386250,404093.1475422323,-17843.1475422323,3214 HARRISON RD,NridgHt
906475170,279000,296760.01232846116,-17760.01232846116,4915 WESTBEND DR,ClearCr
916475110,202900,220595.2162011851,-17695.216201185103,2321 SUNDOWN DR,Timber
905226170,137000,154595.4233852824,-17595.423385282396,1248 WISCONSIN AVE,Sawyer
528445070,221300,238736.28407832293,-17436.284078322933,2518 YORKSHIRE ST,Somerst
535383060,59000,76402.17174576622,-17402.171745766216,117 13TH ST,OldTown
909275310,239000,256261.3309185825,-17261.330918582506,320 ASH AVE,Crawfor
527455240,100000,117025.12513678093,-17025.12513678093,1111 28TH ST,NAmes
534127230,150000,167010.32827576326,-17010.328275763255,2729 CLEVELAND DR,NWAmes
528150110,342000,358944.64593921194,-16944.645939211943,3215 HARRISON RD,NridgHt
533206060,166000,182920.16156027067,-16920.161560270673,2809 BRISTOL DR,Somerst
534451120,85500,102356.22277253015,-16856.22277253015,1410 SUMMIT AVE,BrkSide
528186010,286500,303148.8526442509,-16648.852644250903,3140 BURNHAM DR,NridgHt
909101190,118500,135094.27345093217,-16594.273450932174,217 S HYLAND AVE,SWISU
916455050,180500,197053.70529826623,-16553.705298266228,2829 WHITE OAK DR,Timber
535477020,155000,171362.01971245534,-16362.019712455338,1534 MEADOWLANE AVE,NAmes
528174070,184500,200745.0209884353,-16245.02098843531,2904 HARRISON RD,NridgHt
909250060,169000,185111.0168662706,-16111.016866270598,2320 KNAPP ST,SWISU
534226060,146000,162064.282619216,-16064.282619216014,2402 MELROSE AVE,NAmes
902330090,185000,200956.4088871198,-15956.40888711979,722 DOUGLAS AVE,OldTown
906392090,233555,249486.3813323917,-15931.381332391698,215 HARTFORD DR,CollgCr
916403020,180000,195913.26525768224,-15913.265257682244,2722 WHITE OAK CIR,Timber
528290140,173000,188877.42146996548,-15877.421469965484,2438 WELBECK DR,Gilbert
528228375,226500,242358.87087076876,-15858.870870768762,2314 WESTWIND DR,Blmngtn
535427070,242000,257743.69522380643,-15743.695223806426,1724 MEADOWLANE AVE,NAmes
907252020,228500,244233.2321952845,-15733.232195284509,4939 HEMINGWAY DR,CollgCr
528435040,311872,327601.4900107427,-15729.49001074268,2604 DALTON ST,Somerst
907260050,213000,228702.28451486892,-15702.284514868923,5110 CLEMENS BLVD,CollgCr
916455120,232500,248134.3027798449,-15634.302779844904,2311 SUNCREST DR,Timber
527276160,185000,200595.6909029975,-15595.690902997507,3616 CALHOUN AVE,Gilbert
528116030,326000,341578.20845156396,-15578.208451563958,4017 WEMBLEY AVE,NridgHt
908128110,165400,180962.95808642523,-15562.958086425235,4023 MARIGOLD DR,Edwards
535478070,120000,135523.7601742971,-15523.760174297087,619 E 13TH ST,NAmes
534430090,124000,139450.88777376467,-15450.887773764669,906 MURRAY DR,NAmes
528290010,184000,199405.56680665794,-15405.566806657938,3845 WELBECK DR,Gilbert
902207110,64000,79265.73522945406,-15265.735229454061,1009 MAXWELL AVE,OldTown
916403230,175000,190209.4498783279,-15209.449878327898,2609 GREEN HILLS DR,Timber
535476360,187000,202172.62944806812,-15172.629448068124,1528 LINDEN DR,NAmes
528186030,274000,289095.83685154485,-15095.836851544853,3126 BURNHAM DR,NridgHt
534451130,79900,94971.66091038547,-15071.660910385472,1414 SUMMIT AVE,BrkSide
923400150,93500,108566.38616295598,-15066.386162955983,428 KEN MARIL RD,Mitchel
908103280,135000,150031.3981718665,-15031.398171866487,4125 APLIN RD,Edwards
527328050,151500,166491.91495628134,-14991.91495628134,1606 TOP O HOLLOW RD,NWAmes
910226060,139000,153977.35600056153,-14977.356000561529,208 S MAPLE AVE,IDOTRR
911370520,250000,264976.7006408195,-14976.700640819501,1516 GOLDEN ASPEN DR,Crawfor
905101330,90000,104959.47911755582,-14959.47911755582,3915 QUEBEC ST,Sawyer
531380080,205000,219884.00325390775,-14884.003253907751,5307 MARYLAND ST,SawyerW
914476130,148000,162865.75043478425,-14865.750434784248,3007 DIAMOND ST,Mitchel
528458110,262500,277314.9103030488,-14814.91030304879,2711 CAMBRIDGE DR,Somerst
527162140,204000,218782.4178626665,-14782.417862666509,3820 BERKSHIRE AVE,Gilbert
916403010,175000,189770.08329905084,-14770.083299050835,2726 WHITE OAK DR,Timber
528250010,165500,180195.9268237038,-14695.926823703805,4015 HYDE AVE,Gilbert
532353020,110000,124613.62505555344,-14613.625055553435,1337 ARIZONA AVE,Sawyer
903232030,81300,95857.18578014357,-14557.185780143569,1119 ROOSEVELT AVE,BrkSide
904100090,150000,164541.89030495385,-14541.89030495385,2800 ONTARIO ST,Sawyer
526352080,167300,181822.717806069,-14522.717806069006,3006 KELLOGG AVE,NAmes
528186090,277500,291882.09946648276,-14382.09946648276,3044 BURNHAM DR,NridgHt
527403120,88000,102324.06923510837,-14324.06923510837,3307 NIXON AVE,NAmes
528240020,183500,197808.75708284683,-14308.75708284683,4011 WESTLAWN DR,Gilbert
535152050,214000,228301.52095563192,-14301.520955631917,2231 CLARK AVE,NAmes
528235090,200000,214291.7073295337,-14291.707329533703,3827 BRICKMAN AVE,Gilbert
907194160,203000,217291.34092527453,-14291.340925274533,5426 CLEMENS BLVD,CollgCr
903231090,126000,140273.74450488243,-14273.74450488243,1017 MARSTON AVE,BrkSide
532378050,120875,135147.6379595141,-14272.637959514104,3900 WINDSOR CT,Sawyer
534403370,158000,172227.02342266965,-14227.023422669648,1902 BEL AIR CIR,NAmes
907285020,219500,233547.173708842,-14047.17370884199,4624 CLEMENS BLVD,CollgCr
906201023,225000,239045.77674231376,-14045.776742313756,1209 IDAHO AVE,SawyerW
528240130,185088,199077.16446180808,-13989.164461808075,4002 BRICKMAN AVE,Gilbert
905377130,82500,96424.25523487838,-13924.25523487838,214 HICKORY DR,Edwards
527302060,176000,189864.78249458663,-13864.78249458663,3312 EISENHOWER AVE,NWAmes
923226320,75500,89275.23056910458,-13775.230569104577,605 MEADOW PL,MeadowV
906380210,200000,213701.88784699922,-13701.88784699922,5419 DURANT ST,CollgCr
902405070,184000,197628.39100673012,-13628.391006730119,223 E 6TH ST,OldTown
908127060,122000,135617.95397909652,-13617.953979096521,217 DOTSON DR,Edwards
534426110,124500,138065.52106297604,-13565.52106297604,1926 HUNZIKER DR,NAmes
907251090,237000,250491.0133235977,-13491.013323597697,522 SMILEY AVE,CollgCr
911370510,246000,259460.92716731393,-13460.92716731393,1518 GOLDEN ASPEN DR,Crawfor
904351240,63000,76445.03105485711,-13445.031054857114,122 HOWARD AVE,Edwards
903228060,105000,118405.87826619926,-13405.878266199259,1209 HARDING AVE,BrkSide
534128020,206000,219361.92911823682,-13361.929118236818,1630 JOHNSON ST,NWAmes
907405030,200000,213293.4204040443,-13293.4204040443,818 TENNYSON AVE,CollgCr
531452020,99500,112654.71656895611,-13154.716568956108,1308 INDIANA AVE,SawyerW
528188040,171750,184897.8689550593,-13147.868955059297,3717 ASHTON DR,NridgHt
903233220,110000,123116.78832881263,-13116.788328812632,1112 ROOSEVELT AVE,BrkSide
906475110,187500,200534.9215756554,-13034.921575655404,215 PARKRIDGE CIR,ClearCr
527453140,123000,135998.91974754602,-12998.919747546024,1115 KENNEDY ST,NPkVill
534252060,119000,131938.14578765127,-12938.145787651272,2223 MELROSE AVE,NAmes
535353050,153000,165868.90976328636,-12868.909763286356,1325 WILSON AVE,NAmes
534151090,188500,201359.20108169786,-12859.201081697858,2149 PRAIRIE VIEW EAST,NWAmes
907227110,133900,146740.72947472247,-12840.729474722466,212 ROCKWELL AVE,CollgCr
535175030,139000,151800.7592907772,-12800.759290777205,310 24TH ST,NAmes
923229110,150900,163689.94225653808,-12789.942256538081,513 GARDEN RD 515,Mitchel
528110100,380000,392775.59392890055,-12775.593928900547,3313 STOCKBURY ST,NridgHt
534401190,140000,152703.96063409152,-12703.96063409152,1712 COOLIDGE DR,NAmes
528188160,200000,212559.23129415995,-12559.231294159952,3709 ASHTON DR,NridgHt
903231070,114500,126884.80772770829,-12384.807727708292,1103 MARSTON AVE,BrkSide
909282130,144800,157069.8560529133,-12269.856052913296,707 BEACH AVE,Crawfor
534250370,299800,311867.2424269206,-12067.242426920624,2200 VAN BUREN AVE,NWAmes
528445060,221500,233550.88713211764,-12050.887132117641,2524 YORKSHIRE ST,Somerst
923275010,135000,147026.9605344574,-12026.960534457408,500 GARDEN RD,Mitchel
903202170,137000,148952.80837133384,-11952.808371333842,1020 RIDGEWOOD AVE,BrkSide
904100190,88750,100619.49780322924,-11869.497803229242,1112 IOWA AVE,Sawyer
908102130,100000,111830.16027011434,-11830.160270114342,213 TODD CIR,Edwards
531379050,220000,231650.74106194693,-11650.74106194693,5229 NEVADA CIR,SawyerW
533253090,190000,201607.29232059466,-11607.292320594657,2032 PINEHURST DR,Greens
907196020,205000,216593.44919603196,-11593.449196031957,5216 CLEMENS BLVD,CollgCr
534252270,176000,187568.9462082098,-11568.946208209789,2218 NORTHWESTERN AVE,NWAmes
528235130,178000,189561.66539243364,-11561.665392433642,3838 WELBECK DR,Gilbert
902301060,87500,99060.73399932704,-11560.733999327043,809 CLARK AVE,OldTown
535101110,119000,130451.94370708903,-11451.943707089027,2712 LUTHER DR,NAmes
909254140,90350,101774.4349480791,-11424.434948079099,2231 STORM ST,Crawfor
534477110,140000,151404.43948347087,-11404.439483470866,1411 ROOSEVELT AVE,NAmes
907194130,192500,203821.90018408556,-11321.900184085564,5408 CLEMENS BLVD,CollgCr
533110130,260000,271318.91332126857,-11318.91332126857,2503 RIDGETOP RD,NoRidge
909175100,136500,147818.46164585644,-11318.461645856441,517 HAYWARD AVE,SWISU
907192150,180000,191314.03867967878,-11314.038679678779,5443 CLEMENS BLVD,CollgCr
902401010,116900,128183.18270008465,-11283.182700084653,114 E 8TH ST,OldTown
534477090,141500,152761.40651944283,-11261.406519442826,1423 ROOSEVELT AVE,NAmes
535454030,81400,92624.22504087401,-11224.225040874007,1323 CARROLL AVE,NAmes
535382100,156500,167628.39596958834,-11128.395969588339,1302 KELLOGG AVE,OldTown
531363010,159000,170127.67299831397,-11127.672998313967,5406 KANSAS DR,SawyerW
534226120,117500,128581.79010836502,-11081.790108365021,2514 MELROSE AVE,NAmes
528142070,329900,340981.16529019084,-11081.165290190838,3016 BECKLEY ST,NridgHt
528108070,335000,346062.3590121954,-11062.359012195375,3012 SEDWICK ST,NridgHt
905478140,125000,136037.47967185272,-11037.479671852721,209 HOWARD AVE,Edwards
531382110,163000,174037.3078972486,-11037.307897248596,5220 MARYLAND ST,SawyerW
528348030,252000,263036.6570985925,-11036.657098592492,2910 BAYBERRY RD,NoRidge
528186080,266000,277029.8526860109,-11029.852686010883,3102 BURNHAM DR,NridgHt
903235020,89000,100005.57575341268,-11005.575753412675,1018 10TH ST,BrkSide
907187010,217000,227996.54245059093,-10996.542450590932,5225 CERVANTES DR,CollgCr
535354130,127000,137986.07247621747,-10986.072476217465,1313 CLARK AVE,NAmes
527451020,106000,116981.1687032916,-10981.168703291594,1466 TRUMAN PL,BrDale
534479120,105000,115883.33537457214,-10883.33537457214,1329 GRAND AVE,NAmes
534102025,230000,240881.4729798216,-10881.472979821614,2651 SOMERSET DR,Somerst
923400110,130000,140869.7138185212,-10869.71381852121,406 KEN MARIL RD,Mitchel
535475010,144750,155528.46218752852,-10778.462187528523,1537 LINDEN DR,NAmes
909250210,102000,112743.71452527784,-10743.714525277843,424 STANTON AVE,SWISU
923426070,136000,146710.37058092622,-10710.370580926217,700 KEN MARIL RD,Mitchel
906403060,207000,217704.57819268352,-10704.578192683519,4920 UTAH DR,SawyerW
903227080,120000,130607.60945053893,-10607.609450538934,1204 MARSTON AVE,BrkSide
527425060,97000,107591.54584509984,-10591.545845099841,902 TOP O HOLLOW RD,NAmes
904100170,131000,141581.5805157181,-10581.580515718088,2925 ROSS RD,Sawyer
528488100,185000,195569.68186829158,-10569.681868291576,2520 CLAYTON DR,Somerst
907275090,203000,213553.03717719382,-10553.037177193823,4605 HEMINGWAY DR,CollgCr
903227070,117000,127486.55699530852,-10486.556995308521,1201 ROOSEVELT AVE,BrkSide
528222050,156932,167322.4981431455,-10390.498143145494,4210 WELBECK DR,Gilbert
531375100,158000,168357.91280196418,-10357.91280196418,5321 KANSAS DR,SawyerW
527450210,83000,93351.9861309219,-10351.986130921898,1333 TRUMAN PL,BrDale
527302020,178000,188344.56464681536,-10344.564646815357,3414 EISENHOWER AVE,NWAmes
528294070,230000,240312.27577707387,-10312.275777073868,3808 HYDE AVE,Gilbert
528280130,186500,196751.26341275105,-10251.263412751054,2427 WELBECK DR,Gilbert
528188090,155000,165239.43598388656,-10239.435983886564,3715 FARNHAM DR,NridgHt
528427070,214000,224235.06863723946,-10235.068637239456,3317 CULLEN DR,Somerst
907254020,230000,240190.16121927646,-10190.161219276459,519 POE CIR,CollgCr
902427045,97000,107185.74866097703,-10185.748660977028,422 E 6TH ST,OldTown
907425035,144500,154652.63471162698,-10152.634711626975,4634 TWAIN ST,CollgCr
528188020,173000,183146.62895554284,-10146.628955542838,3712 CHILTON AVE,NridgHt
905352010,182000,192131.20838953464,-10131.208389534644,200 TRAIL RIDGE RD,ClearCr
531385130,215000,225096.65920238523,-10096.659202385228,1320 NEBRASKA AVE,SawyerW
533210060,155000,165063.24198132256,-10063.241981322557,2706 NORTHRIDGE PKWY,Somerst
534201040,127000,137015.97329604038,-10015.973296040378,1404 28TH ST,NAmes
902103120,103500,113476.6489622872,-9976.648962287203,621 11TH ST 619,OldTown
909254010,137000,146975.27099892058,-9975.270998920576,2226 DONALD ST,Crawfor
909275020,145000,154961.9644430366,-9961.964443036588,2144 SUNSET DR 2146,Crawfor
908275040,119900,129825.33798831937,-9925.33798831937,402 S FRANKLIN AVE 404,Edwards
535450070,133000,142917.6884863738,-9917.688486373809,1511 CARROLL AVE,NAmes
902105130,64000,73910.53458285707,-9910.534582857072,1126 CLARK AVE,OldTown
905107070,149500,159406.62308809362,-9906.62308809362,3910 ROSS RD,Sawyer
914476520,201000,210897.33767307427,-9897.337673074275,609 ONYX ST,Mitchel
527302050,175500,185392.41374453285,-9892.413744532852,3318 EISENHOWER AVE,NWAmes
907414070,173500,183370.99334721666,-9870.99334721666,4818 WALLER ST,CollgCr
909280030,250000,259867.4044665309,-9867.40446653089,623 AGG AVE,Crawfor
531450030,175000,184861.37251293307,-9861.37251293307,1303 KENTUCKY AVE,SawyerW
914452190,134000,143805.7293177159,-9805.729317715886,302 OPAL CIR,Mitchel
527452190,127500,137253.2930871292,-9753.29308712919,2921 NORTHWESTERN AVE,NPkVill
903458060,109900,119646.76805052135,-9746.76805052135,123 N MAPLE AVE,IDOTRR
908127040,94750,104458.61620647214,-9708.616206472143,205 DOTSON DR,Edwards
531363030,152000,161694.9539063748,-9694.953906374809,5416 KANSAS DR,SawyerW
527358140,190000,199646.0026056808,-9646.002605680813,2851 MONROE DR,NWAmes
535106190,154300,163846.38332380322,-9546.383323803224,515 24TH ST 517,NAmes
535453200,132500,142015.1958567136,-9515.195856713603,1516 MAXWELL AVE,NAmes
533223020,155000,164488.41037515283,-9488.410375152831,2510 EATON AVE,Somerst
914475030,173000,182475.7549452186,-9475.754945218592,627 CRYSTAL ST,Mitchel
907181100,192000,201461.6068147106,-9461.606814710598,5402 CERVANTES DR,CollgCr
907290160,133000,142368.51251334487,-9368.512513344875,4623 TWAIN ST,CollgCr
533221030,168500,177844.12283357466,-9344.122833574656,2723 HAMPTON ST,Somerst
528118050,500067,509395.710610504,-9328.710610503971,3305 PRESTON CIR,NridgHt
527401130,133000,142328.31769928077,-9328.317699280771,1116 TOP O HOLLOW RD,NAmes
