PID,Latitude,Longitude,GrLivArea,school_quality,nb_income,nb_appreciation,crime_rate,YearBuilt,FullBath,HalfBath,BedroomAbvGr,YearRemodAdd,OverallQual,OverallCond,LotArea,X1stFlrSF,X2ndFlrSF,TotalBsmtSF,KitchenQual,GarageQual,BsmtQual,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood,Value
911370410,42.00941067078177,-93.6155758230605,1652,2,3,7,5,2008,2,0,2,2008,8,5,5587,1652,-,1600,4,3,5,392500,236726.91035319798,155773.08964680202,433 ASPEN RIDGE RD,Crawfor,overvalued
528118040,42.06042751020408,-93.65749616326531,2758,10,5,6,5,2005,2,1,4,2006,9,5,13654,1722,1036,1704,5,3,5,418000,263723.25782110426,154276.74217889574,3311 PRESTON CIR,NridgHt,overvalued
916382100,41.99378064922707,-93.65190486806183,2036,6,6,3,3,2008,2,0,3,2008,9,5,13438,2036,-,2190,5,3,5,410000,255890.3575340559,154109.6424659441,3125 WHITETAIL LN,Timber,overvalued
528366050,42.04951401231898,-93.65345176877533,3228,7,5,9,6,1992,3,0,4,1993,8,5,12692,3228,-,3200,4,3,4,430000,277189.7254603717,152810.2745396283,3120 SYCAMORE RD,NoRidge,overvalued
528110070,42.062261091033875,-93.65618536506653,1973,10,5,6,5,2006,2,0,3,2006,8,5,14226,1973,-,1935,4,3,4,395000,243581.89406521956,151418.10593478044,3207 STOCKBURY ST,NridgHt,overvalued
528108130,42.06226769607274,-93.65441192506607,2020,10,5,6,5,2008,2,0,3,2008,9,5,12350,2020,-,2020,5,3,5,404000,254259.6325527085,149740.3674472915,3107 STOCKBURY ST,NridgHt,overvalued
528166120,42.058667,-93.656246,2668,10,5,6,5,2003,2,1,3,2004,9,5,13688,1572,1096,1572,5,3,5,412500,264498.828713595,148001.171286405,3301 FOXLEY DR,NridgHt,overvalued
527258010,42.05884043624161,-93.6291108657718,1856,10,5,6,5,2010,1,1,1,2010,9,2,11394,1856,-,1856,5,3,5,394432,246895.9603115337,147536.0396884663,1316 KINYON CIR,StoneBr,overvalued
528102030,42.06181159183674,-93.65861938775511,1932,10,5,6,5,2008,2,0,2,2008,8,5,12444,1932,-,1932,5,3,5,394617,247119.80074206955,147497.19925793045,4221 WEMBLEY AVE,NridgHt,overvalued
528321010,42.05397580005523,-93.65714067144042,2794,7,5,9,6,1995,2,1,4,1996,8,5,15138,1490,1304,1462,5,3,4,403000,260703.29986735195,142296.70013264805,3318 RIDGETOP RD,NoRidge,overvalued
905427030,42.0281873047507,-93.66086579008223,3672,4,7,6,1,1935,3,1,5,1990,6,8,19800,1836,1836,1836,4,3,3,415000,274305.2249796643,140694.77502033568,3226 OAKLAND ST,Edwards,overvalued
528340030,42.053597033837974,-93.65278913785878,3078,7,5,9,6,1998,2,1,4,1998,9,5,10557,1671,1407,1408,4,3,5,410000,269741.6475292946,140258.3524707054,3031 BAYBERRY RD,NoRidge,overvalued
528390100,42.049831,-93.650689,2448,7,5,9,6,1994,2,1,4,2005,8,7,46589,1686,762,1629,4,3,4,402000,262500.8313406897,139499.16865931032,2901 CYPRESS CIR,NoRidge,overvalued
528386040,42.051016,-93.653111,3238,7,5,9,6,1995,2,1,4,1996,8,5,14720,2053,1185,2033,4,3,4,410000,273231.4118145429,136768.5881854571,3001 HEMLOCK CIR,NoRidge,overvalued
528327010,42.055592,-93.653209853281,2855,7,5,9,6,2000,2,1,4,2000,9,5,9233,1540,1315,1540,5,3,5,405000,268263.5767576073,136736.42324239272,3124 ALMOND RD,NoRidge,overvalued
528108040,42.062987,-93.65399520765304,2690,10,5,6,5,2009,2,1,3,2009,9,5,12350,1365,1325,1365,5,3,5,398800,262196.4631641927,136603.53683580732,3106 SEDWICK ST,NridgHt,overvalued
527214030,42.060110571428574,-93.627926,1884,10,5,6,5,2004,2,0,2,2004,9,5,15401,1884,-,1884,5,3,5,387000,250631.02717412554,136368.97282587446,4013 FRANCES E DAVIS CT,StoneBr,overvalued
528114040,42.06113041399615,-93.65728995301231,1950,10,5,6,5,2007,2,0,2,2007,9,5,14418,1950,-,1950,5,3,5,383000,252380.46011122788,130619.53988877212,3310 WESTON DR,NridgHt,overvalued
527108070,42.06297980174738,-93.63597536209686,1746,10,5,6,5,2006,2,0,3,2007,9,5,14892,1746,-,1746,5,3,5,377500,246968.21809019108,130531.78190980892,4302 HARRISON CIR,Gilbert,overvalued
921128020,41.992886874408,-93.65205791896162,2018,6,6,3,3,2008,2,0,3,2009,9,5,13214,2018,-,2002,5,3,5,378500,248215.16659377416,130284.83340622584,2716 COTTONWOOD RD,Timber,overvalued
528150090,42.059710469537016,-93.6552007059271,1780,10,5,6,5,2004,2,0,2,2005,9,5,14828,1780,-,1780,5,3,5,378000,249057.10173610324,128942.89826389676,3203 HARRISON RD,NridgHt,overvalued
533350050,42.03728964083625,-93.65819855808627,1842,7,5,9,6,1981,0,1,0,1987,9,5,50271,1842,-,1842,4,3,5,385000,256663.61577204816,128336.38422795184,3110 KINGMAN RD,Veenker,overvalued
528178010,42.058049377998074,-93.65495209183135,2200,10,5,6,5,2003,2,1,3,2004,8,5,15262,2200,-,2200,5,3,5,382500,254487.57580734813,128012.42419265187,3815 VALLEY VIEW RD,NridgHt,overvalued
527210060,42.060522,-93.629176,1922,10,5,6,5,2005,2,0,3,2006,9,5,14157,1922,-,1922,4,3,5,377426,250176.49500274644,127249.50499725356,1401 PANORAMIC CT,StoneBr,overvalued
527254020,42.05985571428571,-93.62815914285714,2046,10,5,6,5,2008,2,1,3,2008,8,5,11844,2046,-,2046,4,3,5,372500,245330.38005126256,127169.61994873744,1214 ADAMS ST,StoneBr,overvalued
528150040,42.06128279834525,-93.65610130506859,1802,10,5,6,5,2006,2,1,3,2006,9,5,13615,1802,-,1802,5,3,5,372000,245081.39856961952,126918.60143038048,3210 WESTON DR,NridgHt,overvalued
528322020,42.05336436117511,-93.65588089772652,2551,7,5,9,6,1997,2,1,4,1998,8,5,12191,1779,772,1779,4,3,4,384500,258640.09484390446,125859.90515609554,3240 EVERGREEN RD,NoRidge,overvalued
528164040,42.058476859767694,-93.65716540760377,1792,10,5,6,5,2003,2,0,2,2004,9,5,11846,1792,-,1792,5,3,5,374000,249176.55815987062,124823.44184012938,3332 FOXLEY DR,NridgHt,overvalued
528150080,42.05981703400088,-93.6551864675853,1792,10,5,6,5,2005,2,0,2,2006,9,5,13758,1792,-,1792,4,3,5,372397,248277.61556933727,124119.38443066273,4017 VALLEY VIEW RD,NridgHt,overvalued
528108120,42.06234669940753,-93.65333767490483,2334,10,5,6,5,2009,2,1,3,2010,9,5,12858,1627,707,1590,5,3,5,376162,253320.34772115533,122841.65227884467,3033 STOCKBURY ST,NridgHt,overvalued
921205030,41.993253,-93.64787321806948,2028,6,6,3,3,2005,2,0,2,2006,8,5,11443,2028,-,1868,4,3,5,369900,247225.98897706607,122674.01102293393,2406 COTTONWOOD RD,Timber,overvalued
921201060,41.993447992458734,-93.64681158483924,1964,6,6,3,3,2005,2,1,3,2006,8,5,11447,1964,-,1964,4,3,5,370000,248116.74590790365,121883.25409209635,2311 COTTONWOOD RD,Timber,overvalued
528118030,42.06042781632653,-93.6575430612245,2748,10,5,6,5,2006,2,1,4,2006,9,5,13418,1850,898,1850,5,3,5,390000,268133.374175345,121866.625824655,3317 PRESTON CIR,NridgHt,overvalued
528120130,42.060615942036634,-93.65391326190446,2331,10,5,6,5,2005,2,1,3,2005,9,5,12151,1414,917,1414,5,3,5,379000,257830.630745736,121169.36925426399,3101 BECKLEY ST,NridgHt,overvalued
528166060,42.05952628460094,-93.65536529707039,2392,10,5,6,5,2003,2,0,3,2003,10,5,13472,2392,-,2392,5,3,5,386250,266589.6560447051,119660.34395529493,3214 HARRISON RD,NridgHt,overvalued
528112040,42.06210217554008,-93.65438858654986,1736,10,5,6,5,2008,2,0,3,2008,9,5,11578,1736,-,1736,5,3,5,360000,242267.7072272865,117732.2927727135,3106 STOCKBURY ST,NridgHt,overvalued
528110100,42.062257812827184,-93.65737546477388,2643,10,5,6,5,2006,2,1,3,2006,9,5,13693,2069,574,2153,5,3,4,380000,263698.472615802,116301.52738419798,3313 STOCKBURY ST,NridgHt,overvalued
527127100,42.06313658641084,-93.63407101380041,2522,10,5,6,5,2004,2,0,1,2005,8,5,7296,2522,-,2208,4,3,5,375000,259296.86525050265,115703.13474949735,1801 WATERBURY CIR,StoneBr,overvalued
533130130,42.04576801482544,-93.65265019942633,2349,7,5,9,6,1993,2,1,4,1993,8,5,13143,1251,1098,1231,4,3,4,362500,249019.8882561579,113480.1117438421,2406 RIDGETOP CIR,NoRidge,overvalued
528178090,42.05866432653061,-93.65509110204081,2690,10,5,6,5,2003,2,1,4,2003,8,5,16451,1804,886,1765,4,3,5,370000,257344.51944290672,112655.48055709328,3210 FOXLEY DR,NridgHt,overvalued
533350020,42.036990270138126,-93.65819074824287,2497,7,5,9,6,1981,2,0,2,1981,8,5,17778,2497,-,2461,4,3,4,373000,262417.07501165755,110582.92498834245,3128 KINGMAN RD,Veenker,overvalued
527212040,42.06057809473684,-93.62884491578947,2576,10,5,6,5,2006,2,1,4,2006,8,5,12438,1264,1312,1234,5,3,5,361919,252016.65717440032,109902.34282559968,4020 EDGEWATER DR,StoneBr,overvalued
528142110,42.05919244462287,-93.650488246871,1944,10,5,6,5,2003,2,0,3,2004,9,5,12378,1944,-,1896,5,3,5,360000,250712.2640223418,109287.73597765819,3049 HARRISON RD,NridgHt,overvalued
909282030,42.015873,-93.642674,3447,2,3,7,5,1935,3,1,4,1997,8,9,14100,1968,1479,728,4,3,3,381000,274769.9219861667,106230.07801383332,2116 COUNTRY CLUB BLVD,Crawfor,overvalued
533125140,42.04859922225177,-93.65334224019912,2786,7,5,9,6,1993,2,1,4,1994,9,5,11025,1827,959,1848,4,3,4,372500,266359.43739090627,106140.56260909373,3118 GREENWOOD RD,NoRidge,overvalued
527208010,42.0615751,-93.6291384384083,2500,10,5,6,5,2005,3,1,5,2005,8,5,13543,1168,1332,1168,5,3,5,355000,250271.30402159953,104728.69597840047,1408 EDGEWATER CT,StoneBr,overvalued
527210050,42.060522673469386,-93.62919155102041,2473,10,5,6,5,2006,2,1,4,2006,9,5,12292,1102,1371,1094,4,3,5,356383,253890.923853705,102492.076146295,1407 PANORAMIC CT,StoneBr,overvalued
916176125,42.00149914254683,-93.64995508984912,2036,6,6,3,3,1965,2,0,3,1965,7,5,215245,2036,-,2136,3,3,4,375000,273752.11700782424,101247.88299217576,2227 TIMBERLAND RD,Timber,overvalued
528150120,42.05951443308143,-93.65670198799359,2468,10,5,6,5,2004,2,1,4,2004,8,5,12099,1136,1332,1136,4,3,5,354000,252849.4926943458,101150.5073056542,3305 HARRISON RD,NridgHt,overvalued
528344070,42.053331636732146,-93.652527,2475,7,5,9,6,1998,2,1,4,1998,8,5,17433,1645,830,1629,4,3,5,355000,253863.9066095525,101136.0933904475,3205 MAGNOLIA CIR,NoRidge,overvalued
528346050,42.051887710035494,-93.6513635507571,2006,7,5,9,6,1998,2,0,2,1998,8,5,11675,2006,-,1982,4,3,4,350000,249878.0802090296,100121.9197909704,3115 VALLEY VIEW RD,NoRidge,overvalued
528166150,42.058640890740634,-93.65675772325477,2385,10,5,6,5,2003,2,1,3,2003,8,5,14277,1217,1168,1317,4,3,5,350000,251655.52232664078,98344.47767335922,3321 FOXLEY DR,NridgHt,overvalued
528480060,42.05217516802972,-93.6424376975465,2078,7,5,9,6,2007,2,1,3,2008,8,5,10800,1050,1028,1034,5,3,5,339750,242876.4939270505,96873.5060729495,2518 KINGSTON DR,Somerst,overvalued
528142040,42.060443175893475,-93.65395984521219,2224,10,5,6,5,2004,2,1,4,2005,9,5,8834,1462,762,1462,5,3,5,350000,253438.0809972802,96561.9190027198,3108 BECKLEY ST,NridgHt,overvalued
528363110,42.05158958718548,-93.65406540011706,2113,7,5,9,6,1995,2,1,2,1995,8,6,10437,2113,-,2109,4,3,4,350000,253696.90426112173,96303.09573887827,3118 ASPEN RD,NoRidge,overvalued
528315030,42.054420316530845,-93.65590479824506,2392,7,5,9,6,1997,2,1,3,1998,8,5,9452,1407,985,1396,4,3,4,348000,251844.53380052152,96155.46619947848,3218 BAYBERRY RD,NoRidge,overvalued
527212060,42.060527,-93.628865,2541,10,5,6,5,2005,3,1,4,2005,8,5,12328,1164,1377,1149,5,3,5,349265,253700.2504749332,95564.74952506681,4008 EDGEWATER DR,StoneBr,overvalued
528104010,42.063149387238916,-93.65417937402002,2122,10,5,6,5,2007,2,1,2,2007,8,5,14333,2122,-,2108,4,3,4,345474,251829.07813890252,93644.92186109748,3131 SEDWICK ST,NridgHt,overvalued
528358030,42.051770082113144,-93.65404623087741,2726,7,5,9,6,1995,2,1,4,1995,8,5,10019,1358,1368,1342,4,3,4,350000,257037.79448952142,92962.20551047858,3115 ASPEN RD,NoRidge,overvalued
528365060,42.049582,-93.655958,2418,7,5,9,6,1993,2,1,3,1994,7,5,10542,1325,1093,1311,4,3,4,341000,249310.3372586915,91689.66274130851,2900 RIDGETOP RD,NoRidge,overvalued
527252080,42.05782742605607,-93.62985899498922,1710,10,5,6,5,2007,2,0,2,2007,9,5,8118,1710,-,1710,5,3,5,334000,243472.61855486815,90527.38144513185,3811 HOOVER AVE,StoneBr,overvalued
528482090,42.05105825602237,-93.63971724582727,2466,7,5,9,6,2004,3,0,4,2005,8,5,11143,1580,886,1580,4,3,4,340000,249626.9749212214,90373.02507877859,2307 CLAYTON DR,Somerst,overvalued
528180110,42.05779497875085,-93.65146345283424,1866,10,5,6,5,2008,2,0,2,2008,9,5,10110,1866,-,1858,5,3,4,336860,246664.13013357803,90195.86986642197,3015 BURNHAM DR,NridgHt,overvalued
909428280,42.01101502112876,-93.63989112051938,1902,2,3,7,5,1959,2,0,3,2002,7,8,17500,1902,-,1902,5,3,4,335000,245248.59410206001,89751.40589793999,2019 ASHMORE DR,Crawfor,overvalued
528120030,42.06125391005535,-93.65429293465563,1743,10,5,6,5,2008,2,0,3,2008,9,5,10367,1743,-,1739,5,3,5,335000,245795.20693913073,89204.79306086927,3112 WESTON DR,NridgHt,overvalued
533236090,42.0471576213377,-93.64174117357346,2393,7,5,9,6,1998,2,1,2,1999,10,5,3951,1469,924,970,5,3,4,345000,256178.04968259082,88821.95031740918,2502 BRISTOL DR,Somerst,overvalued
528102040,42.062352916575044,-93.65862700132564,1718,10,5,6,5,2006,2,0,3,2007,10,5,12456,1718,-,1700,5,3,5,337500,250407.40178511635,87092.59821488365,4303 WEMBLEY AVE,NridgHt,overvalued
906340130,42.026621,-93.68812023225244,1720,3,7,9,1,2008,2,0,3,2008,9,5,10816,1720,-,1720,5,3,5,332000,244987.8349411002,87012.16505889979,5217 TABOR DR,CollgCr,overvalued
905109130,42.030093597166974,-93.67070699361871,2260,4,6,8,0,1996,2,1,3,1997,7,5,14000,1306,954,1306,4,3,5,328000,241855.4310773278,86144.56892267219,3830 PHOENIX ST,ClearCr,overvalued
533215080,42.046291522056016,-93.64706809744942,1709,7,5,9,6,1999,2,0,2,2000,9,5,5119,1709,-,1698,4,3,5,328900,242773.5818036485,86126.4181963515,2415 BRADFORD DR,Somerst,overvalued
528106010,42.06209099209688,-93.65759867203336,2596,10,5,6,5,2006,3,1,4,2006,9,5,16259,1249,1347,1249,4,3,5,342643,256557.68875279807,86085.31124720193,3332 STOCKBURY ST,NridgHt,overvalued
528344040,42.05342209992673,-93.65304393958789,2450,7,5,9,6,1998,2,1,3,1998,8,5,16545,1310,1140,1284,4,3,4,340000,254207.38731435774,85792.61268564226,3028 BAYBERRY RD,NoRidge,overvalued
916225130,42.00562308313463,-93.6448327303395,2519,6,6,3,3,1989,2,1,4,1990,7,5,26178,1238,1281,1210,4,3,4,335000,250062.8042160882,84937.1957839118,2218 IRONWOOD CT,Timber,overvalued
528315090,42.05379760477604,-93.65448720349738,2365,7,5,9,6,1999,2,1,3,1999,8,5,9430,1268,1097,1252,4,3,4,337000,252684.30466359464,84315.69533640536,3122 BAYBERRY RD,NoRidge,overvalued
533250160,42.044657567685334,-93.64823284612062,1719,7,5,9,6,1993,1,1,1,1993,8,5,10846,1719,-,1719,4,3,4,324000,240400.24071372364,83599.75928627636,2878 GREENSBORO CIR,Veenker,overvalued
528108070,42.06298145483986,-93.65305565872593,2184,10,5,6,5,2008,2,1,3,2008,9,5,11308,1130,1054,1104,5,3,5,335000,251440.5901154703,83559.40988452971,3012 SEDWICK ST,NridgHt,overvalued
526355080,42.04929427138124,-93.61548374429667,2704,5,2,4,1,1972,2,1,4,1995,8,7,13860,2000,704,1952,5,3,4,345000,263475.8417357762,81524.15826422378,2802 THOMPSON DR,NAmes,overvalued
528344100,42.05334115361809,-93.65230523871368,2612,7,5,9,6,1998,2,1,4,1999,8,5,12203,1276,1336,1225,4,3,4,336000,255604.46892208006,80395.53107791994,3220 MAGNOLIA CIR,NoRidge,overvalued
527252050,42.05913879165885,-93.62984648518588,1612,10,5,6,5,2006,2,0,2,2006,9,5,8035,1612,-,1612,5,3,5,319900,239964.6867217765,79935.3132782235,3909 HOOVER AVE,StoneBr,overvalued
528106070,42.06145186925646,-93.65610068592805,1652,10,5,6,5,2006,2,0,2,2007,9,5,13173,1652,-,1652,5,3,5,325000,245386.6158753877,79613.38412461229,3209 WESTON DR,NridgHt,overvalued
905453080,42.02407498695896,-93.6625751725542,1508,4,7,6,1,2009,1,0,1,2010,7,5,17485,1508,-,1508,4,3,4,308030,228550.20468690002,79479.79531309998,3520 STORY ST,Edwards,overvalued
528150110,42.05969691592808,-93.6553784014037,2956,10,5,6,5,2004,2,1,5,2004,8,5,13069,1718,1238,1706,5,3,4,342000,263472.39381170797,78527.60618829203,3215 HARRISON RD,NridgHt,overvalued
528142070,42.06056202980451,-93.65273732220116,2358,10,5,6,5,2005,2,1,4,2006,8,5,11643,1544,814,1524,5,3,5,329900,251598.19275223478,78301.80724776522,3016 BECKLEY ST,NridgHt,overvalued
528180070,42.0577749954113,-93.65181467493377,1752,10,5,6,5,2005,2,0,2,2005,9,5,7658,1752,-,1752,5,3,5,319900,242966.62180222615,76933.37819777385,3039 BURNHAM DR,NridgHt,overvalued
528118010,42.06042873469387,-93.65768375510204,2376,10,5,6,5,2005,3,1,4,2006,8,5,14215,1158,1218,1158,4,3,5,325300,248451.60346495826,76848.39653504174,3335 PRESTON CIR,NridgHt,overvalued
528116030,42.060437,-93.658514,1850,10,5,6,5,2004,2,0,3,2005,9,5,16033,1850,-,1833,4,3,5,326000,249200.71017291432,76799.28982708568,4017 WEMBLEY AVE,NridgHt,overvalued
528138010,42.06162466808756,-93.65221048846105,1808,10,5,6,5,2008,2,0,3,2008,9,5,13514,1808,-,1774,5,3,5,324000,247591.9543579339,76408.0456420661,2908 WESTON DR,NridgHt,overvalued
528328100,42.05443754843614,-93.65124218090162,2599,7,5,9,6,1999,2,1,4,1999,9,5,14774,1422,1177,1393,4,3,4,333168,257708.23330987623,75459.76669012377,3403 HONEYSUCKLE RD,NoRidge,overvalued
528435040,42.054149095181536,-93.64371993188,1726,7,5,9,6,2007,2,0,3,2007,7,5,9416,1726,-,1726,5,3,5,311872,236470.69570952922,75401.30429047078,2604 DALTON ST,Somerst,overvalued
528376010,42.05257444095413,-93.65405592868406,2538,7,5,9,6,1996,2,1,4,1997,8,5,9044,1335,1203,1325,4,3,4,330000,255266.35770698672,74733.64229301328,3140 EVERGREEN RD,NoRidge,overvalued
527252090,42.05778268719642,-93.62986759861607,1714,10,5,6,5,2005,2,0,2,2005,9,5,8147,1714,-,1714,4,3,5,318000,243329.865286541,74670.134713459,3807 HOOVER AVE,StoneBr,overvalued
916382110,41.99403279320556,-93.65298445538993,1641,6,6,3,3,2008,2,0,3,2008,9,5,14463,1641,-,1641,5,3,5,316500,242146.85372194214,74353.14627805786,3126 RED FOX RD,Timber,overvalued
909425010,42.015552,-93.643505,1954,2,3,7,5,1939,1,1,3,2006,7,9,15660,1137,817,798,4,3,3,311500,237707.19046852126,73792.80953147874,2160 COUNTRY CLUB BLVD,Crawfor,overvalued
916380070,41.994193621315084,-93.6532138888426,1620,6,6,3,3,2007,2,0,2,2008,9,5,12898,1620,-,1620,5,3,5,315500,242283.75442264162,73216.24557735838,3113 RED FOX RD,Timber,overvalued
533252040,42.04377237616086,-93.64613373604098,1694,7,5,9,6,1977,2,0,2,2008,8,9,14694,1694,-,1694,5,3,4,318750,246263.1862713658,72486.81372863421,2816 GREENSBORO DR,Veenker,overvalued
