Prop_Addr,Delta,SalePrice,Value
1111 28TH ST,98K,100K,undervalued by 
1112 ROOSEVELT AVE,98K,110K,undervalued by 
1466 TRUMAN PL,98K,106K,undervalued by 
114 E 8TH ST,98K,117K,undervalued by 
118 N HAZEL AVE,98K,103K,undervalued by 
518 13TH ST,98K,115K,undervalued by 
1315 CARROLL AVE 1317,98K,88K,undervalued by 
425 BEACH AVE,98K,110K,undervalued by 
3505 COY ST,98K,99K,undervalued by 
201 E 13TH ST,98K,106K,undervalued by 
515 8TH ST,98K,110K,undervalued by 
3109 GROVE AVE,98K,105K,undervalued by 
618 CARROLL AVE,97K,119K,undervalued by 
1103 MARSTON AVE,97K,114K,undervalued by 
926 GRAND AVE,97K,122K,undervalued by 
1508 CARROLL AVE,97K,98K,undervalued by 
125 S HAZEL AVE,97K,100K,undervalued by 
207 ABRAHAM DR,97K,100K,undervalued by 
402 S FRANKLIN AVE 404,97K,120K,undervalued by 
3323 TRIPP ST,97K,98K,undervalued by 
1317 WILSON AVE,97K,103K,undervalued by 
1450 TRUMAN PL,97K,106K,undervalued by 
2021 FERNDALE AVE,97K,98K,undervalued by 
1460 BRECKINRIDGE CT,97K,108K,undervalued by 
3925 ROSS RD,97K,122K,undervalued by 
220 BEEDLE DR,96K,108K,undervalued by 
925 MAXWELL AVE,96K,106K,undervalued by 
2827 WOOD ST,96K,108K,undervalued by 
103 S RUSSELL AVE,96K,115K,undervalued by 
2712 LUTHER DR,96K,119K,undervalued by 
3631 ROSS RD,96K,105K,undervalued by 
1203 BURNETT AVE,96K,110K,undervalued by 
124 FRANKLIN AVE,96K,119K,undervalued by 
418 12TH ST,96K,111K,undervalued by 
1322 DOUGLAS AVE,96K,106K,undervalued by 
422 E 6TH ST,96K,97K,undervalued by 
1207 N 2ND ST,95K,120K,undervalued by 
811 12TH ST,95K,113K,undervalued by 
3405 EMERALD DR,95K,115K,undervalued by 
1010 GRAND AVE,95K,110K,undervalued by 
3021 OAKLAND ST,95K,108K,undervalued by 
619 E 13TH ST,95K,120K,undervalued by 
219 7TH ST,95K,119K,undervalued by 
1415 CRESCENT ST,95K,110K,undervalued by 
123 N MAPLE AVE,95K,110K,undervalued by 
3805 DAWES DR,95K,133K,undervalued by 
311 11TH ST,95K,116K,undervalued by 
824 WILSON AVE,94K,114K,undervalued by 
712 8TH ST,94K,128K,undervalued by 
1342 BARKLEY CT,94K,106K,undervalued by 
1409 TRUMAN PL,94K,113K,undervalued by 
1201 ROOSEVELT AVE,94K,117K,undervalued by 
1302 MAXWELL AVE,94K,99K,undervalued by 
1303 STAFFORD AVE,94K,112K,undervalued by 
1003 MARSTON AVE,94K,105K,undervalued by 
1325 MAXWELL AVE 1327,94K,119K,undervalued by 
228 S RIVERSIDE DR,94K,82K,undervalued by 
607 E 13TH ST,94K,105K,undervalued by 
626 10TH ST,94K,110K,undervalued by 
3304 NIXON AVE,94K,98K,undervalued by 
2342 STORM ST,94K,112K,undervalued by 
223 20TH ST,94K,108K,undervalued by 
1329 TRUMAN PL,93K,114K,undervalued by 
1229 KELLOGG AVE,93K,124K,undervalued by 
4307 TORONTO ST,93K,120K,undervalued by 
1110 DELAWARE AVE,93K,131K,undervalued by 
1532 BURNETT AVE,93K,114K,undervalued by 
820 WILSON AVE,93K,137K,undervalued by 
2521 LITTLE ST,93K,127K,undervalued by 
224 SOUTH DAKOTA AVE,93K,85K,undervalued by 
1516 BURNETT AVE,93K,109K,undervalued by 
310 COLORADO CIR,93K,114K,undervalued by 
1424 BRECKINRIDGE CT,93K,112K,undervalued by 
1408 KELLOGG AVE,93K,120K,undervalued by 
1606 BURNETT AVE,92K,105K,undervalued by 
1316 DOUGLAS AVE,92K,106K,undervalued by 
217 DOTSON DR,92K,122K,undervalued by 
1011 CURTISS AVE,92K,115K,undervalued by 
1914 FERNDALE AVE,92K,102K,undervalued by 
304 S FRANKLIN AVE,92K,112K,undervalued by 
1531 ROOSEVELT AVE,92K,138K,undervalued by 
2718 LUTHER DR,92K,124K,undervalued by 
1401 CARROLL AVE 1403,92K,93K,undervalued by 
129 E 9TH ST,92K,119K,undervalued by 
918 ROOSEVELT AVE,92K,113K,undervalued by 
1204 MARSTON AVE,92K,120K,undervalued by 
1463 TRUMAN PL,92K,114K,undervalued by 
321 E 6TH ST,92K,110K,undervalued by 
1107 KELLOGG AVE,92K,120K,undervalued by 
210 S FRANKLIN AVE,92K,120K,undervalued by 
4712 TORONTO ST,92K,107K,undervalued by 
211 16TH ST,92K,115K,undervalued by 
621 CARR DR,92K,135K,undervalued by 
2912 WOOD ST,92K,116K,undervalued by 
505 NORTHWESTERN AVE,92K,123K,undervalued by 
925 CARROLL AVE,92K,120K,undervalued by 
315 S 4TH ST,92K,115K,undervalued by 
1416 DUFF AVE,92K,119K,undervalued by 
3820 MARIGOLD DR,92K,130K,undervalued by 
1024 CURTISS AVE,91K,115K,undervalued by 
1311 CARROLL AVE 1313,91K,94K,undervalued by 
1326 BARKLEY CT,91K,118K,undervalued by 
1123 N 3RD ST,91K,116K,undervalued by 
3834 MARIGOLD DR,91K,130K,undervalued by 
611 HODGE AVE,91K,122K,undervalued by 
2217 MELROSE AVE,91K,103K,undervalued by 
1346 BARKLEY CT,91K,112K,undervalued by 
1337 ARIZONA AVE,91K,110K,undervalued by 
1305 TRUMAN PL,91K,111K,undervalued by 
1020 ROOSEVELT AVE,91K,128K,undervalued by 
916 DUFF AVE,91K,129K,undervalued by 
1012 GRAND AVE,91K,115K,undervalued by 
3714 S DUFF AVE,90K,113K,undervalued by 
1311 GRAND AVE,90K,113K,undervalued by 
109 S HYLAND AVE,90K,128K,undervalued by 
210 S RIVERSIDE DR,90K,118K,undervalued by 
1017 MARSTON AVE,90K,126K,undervalued by 
3411 HARCOURT DR,90K,105K,undervalued by 
627 9TH ST,90K,119K,undervalued by 
206 ABRAHAM DR,90K,110K,undervalued by 
832 GRAND AVE,90K,132K,undervalued by 
413 E 6TH ST,90K,110K,undervalued by 
1209 GRAND AVE,90K,120K,undervalued by 
1425 KELLOGG AVE,90K,110K,undervalued by 
313 E 13TH ST 315,90K,130K,undervalued by 
2730 LUTHER DR 2732,90K,126K,undervalued by 
1215 CURTISS AVE,90K,110K,undervalued by 
1301 RIDGEWOOD AVE 1303,89K,118K,undervalued by 
1115 KENNEDY ST,89K,123K,undervalued by 
1118 N 3RD ST,89K,120K,undervalued by 
1314 IOWA CIR,89K,130K,undervalued by 
117 MCDONALD DR,89K,130K,undervalued by 
4011 LINCOLN WAY,89K,110K,undervalued by 
517 HAYWARD AVE,89K,136K,undervalued by 
1302 INDIANA AVE,89K,120K,undervalued by 
210 E 11TH ST,89K,110K,undervalued by 
218 16TH ST,89K,103K,undervalued by 
3418 SOUTHDALE DR,89K,115K,undervalued by 
1220 TRUMAN PL,89K,116K,undervalued by 
3916 FLETCHER BLVD,89K,130K,undervalued by 
1322 STAFFORD AVE,89K,110K,undervalued by 
4915 SCHUBERT ST,89K,110K,undervalued by 
1422 CARROLL AVE,89K,110K,undervalued by 
625 13TH ST,89K,112K,undervalued by 
419 18TH ST,88K,135K,undervalued by 
2902 WOOD ST,88K,122K,undervalued by 
1521 KELLOGG AVE,88K,100K,undervalued by 
829 RIDGEWOOD AVE,88K,109K,undervalued by 
719 KELLOGG AVE,88K,128K,undervalued by 
1215 N 2ND ST,88K,141K,undervalued by 
3411 TRIPP ST 3413,88K,118K,undervalued by 
426 HAYWARD AVE 428,88K,150K,undervalued by 
825 CLARK AVE,88K,125K,undervalued by 
2804 NORTHWESTERN AVE,88K,110K,undervalued by 
412 10TH ST,88K,112K,undervalued by 
211 DOTSON DR,88K,120K,undervalued by 
1106 STAFFORD AVE,88K,112K,undervalued by 
1213 S 2ND ST,88K,120K,undervalued by 
1402 MEADOWLANE AVE,88K,110K,undervalued by 
1323 GRAND AVE,88K,133K,undervalued by 
1217 SCOTT AVE,88K,108K,undervalued by 
1113 MARSTON AVE,87K,113K,undervalued by 
419 15TH ST,87K,118K,undervalued by 
1020 10TH ST,87K,128K,undervalued by 
830 WILSON AVE,87K,114K,undervalued by 
508 CARROLL AVE,87K,160K,undervalued by 
3838 MARIGOLD DR,87K,134K,undervalued by 
314 12TH ST,87K,105K,undervalued by 
1229 NORTHWESTERN AVE,87K,128K,undervalued by 
717 MEADOW PL,87K,106K,undervalued by 
320 E 7TH ST,87K,132K,undervalued by 
209 HOWARD AVE,87K,125K,undervalued by 
1027 N 2ND ST,87K,135K,undervalued by 
1906 WILSON AVE,87K,129K,undervalued by 
611 10TH ST,87K,128K,undervalued by 
229 S RUSSELL AVE,87K,119K,undervalued by 
1021 RIDGEWOOD AVE,87K,121K,undervalued by 
1128 STAFFORD AVE,87K,108K,undervalued by 
2030 MELROSE AVE,87K,106K,undervalued by 
234 SOUTH DAKOTA AVE 236,87K,146K,undervalued by 
1461 BRECKINRIDGE CT,87K,118K,undervalued by 
1465 BRECKINRIDGE CT,87K,120K,undervalued by 
2125 FURMAN DR,87K,109K,undervalued by 
3830 MARIGOLD DR,86K,130K,undervalued by 
3425 HARCOURT DR,86K,151K,undervalued by 
1130 STAFFORD AVE,86K,108K,undervalued by 
1109 ROOSEVELT AVE,86K,115K,undervalued by 
611 11TH ST,86K,129K,undervalued by 
1313 CLARK AVE,86K,127K,undervalued by 
721 NORTHWESTERN AVE,86K,140K,undervalued by 
1430 RIDGEWOOD AVE,86K,112K,undervalued by 
129 S MAPLE AVE,86K,120K,undervalued by 
1214 ROOSEVELT AVE,86K,119K,undervalued by 
1311 KELLOGG AVE,86K,143K,undervalued by 
1110 S 2ND ST,86K,126K,undervalued by 
312 CRANE AVE,86K,137K,undervalued by 
1218 N 3RD ST,86K,127K,undervalued by 
316 16TH ST,86K,100K,undervalued by 
425 15TH ST,86K,113K,undervalued by 
126 24TH ST,85K,120K,undervalued by 
1409 MAXWELL AVE,85K,127K,undervalued by 
127 16TH ST,85K,117K,undervalued by 
429 E 6TH ST,85K,104K,undervalued by 
427 FRANKLIN AVE,85K,126K,undervalued by 
4901 SCHUBERT ST,85K,112K,undervalued by 
1117 KENNEDY ST,85K,120K,undervalued by 
427 24TH ST,85K,114K,undervalued by 
3909 TORONTO ST,85K,115K,undervalued by 
411 HILLTOP RD,85K,115K,undervalued by 
223 HILLTOP RD,85K,111K,undervalued by 
1311 BARKLEY CT,85K,122K,undervalued by 
509 9TH ST,85K,135K,undervalued by 
803 13TH ST 805,85K,137K,undervalued by 
2144 SUNSET DR 2146,85K,145K,undervalued by 
418 STANTON AVE,85K,135K,undervalued by 
215 WELLONS DR,85K,125K,undervalued by 
1212 13TH ST,85K,128K,undervalued by 
2104 DOUGLAS AVE,85K,130K,undervalued by 
1524 DOUGLAS AVE,85K,114K,undervalued by 
228 SOUTH DAKOTA AVE,85K,108K,undervalued by 
310 24TH ST,85K,139K,undervalued by 
117 16TH ST,85K,108K,undervalued by 
3334 MORNINGSIDE ST,85K,125K,undervalued by 
211 E 16TH ST,85K,120K,undervalued by 
621 CLARK AVE,85K,129K,undervalued by 
206 DOTSON DR,84K,117K,undervalued by 
1524 DUFF AVE,84K,143K,undervalued by 
512 STANTON AVE,84K,137K,undervalued by 
1517 STAFFORD AVE,84K,119K,undervalued by 
1225 ROOSEVELT AVE,84K,128K,undervalued by 
1344 TRUMAN PL,84K,125K,undervalued by 
611 16TH ST,84K,123K,undervalued by 
3214 NIXON AVE,84K,110K,undervalued by 
413 TEAGARDEN DR,84K,131K,undervalued by 
1312 CARROLL AVE,84K,128K,undervalued by 
1212 LINCOLN WAY,84K,130K,undervalued by 
221 21ST ST,84K,116K,undervalued by 
3472 SOUTHDALE DR,84K,127K,undervalued by 
3218 WEST ST,84K,131K,undervalued by 
1217 JEFFERSON ST,84K,112K,undervalued by 
3826 MARIGOLD DR,84K,138K,undervalued by 
1021 HARDING AVE,84K,150K,undervalued by 
1218 CURTISS AVE,84K,119K,undervalued by 
1226 MARSTON AVE,84K,128K,undervalued by 
714 STANTON AVE,84K,131K,undervalued by 
120 E O NEIL DR,83K,115K,undervalued by 
3900 WINDSOR CT,83K,121K,undervalued by 
2514 MELROSE AVE,83K,118K,undervalued by 
704 BURNETT AVE,83K,144K,undervalued by 
108 COLORADO AVE 110,83K,125K,undervalued by 
3803 MINNETONKA AVE,83K,112K,undervalued by 
715 LYNN AVE,83K,120K,undervalued by 
1206 MARSTON AVE,83K,132K,undervalued by 
1531 LINDEN DR,83K,140K,undervalued by 
1611 DOUGLAS AVE,83K,115K,undervalued by 
3212 WOODLAND ST,83K,124K,undervalued by 
1116 TOP O HOLLOW RD,83K,133K,undervalued by 
908 TOP O HOLLOW RD,83K,111K,undervalued by 
2215 STORM ST,83K,135K,undervalued by 
1823 CLARK AVE,83K,116K,undervalued by 
1437 TRUMAN PL,83K,126K,undervalued by 
1008 ARKANSAS AVE,83K,120K,undervalued by 
619 10TH ST,83K,140K,undervalued by 
624 CRYSTAL ST,83K,126K,undervalued by 
3312 S DUFF AVE,83K,130K,undervalued by 
540 MEADOW CT,83K,120K,undervalued by 
3913 TORONTO ST,83K,116K,undervalued by 
120 MCDONALD DR,83K,124K,undervalued by 
722 CLARK AVE,83K,150K,undervalued by 
1409 MEADOWLANE AVE,83K,127K,undervalued by 
1211 CLARK AVE,83K,135K,undervalued by 
1504 24TH ST,83K,135K,undervalued by 
1001 ARIZONA AVE,83K,115K,undervalued by 
4025 APLIN RD,83K,118K,undervalued by 
1413 SUMMIT AVE,83K,116K,undervalued by 
914 6TH ST,83K,128K,undervalued by 
2226 DONALD ST,83K,137K,undervalued by 
1103 N 2ND ST,83K,126K,undervalued by 
1422 BURNETT AVE,83K,125K,undervalued by 
3017 LINCOLN WAY,82K,120K,undervalued by 
2013 MELROSE AVE,82K,118K,undervalued by 
1103 BURNETT AVE,82K,129K,undervalued by 
1222 NORTHWESTERN AVE,82K,124K,undervalued by 
1126 BURNETT AVE,82K,119K,undervalued by 
322 CRANE AVE,82K,128K,undervalued by 
1018 N 2ND ST,82K,135K,undervalued by 
1823 BURNETT AVE,82K,125K,undervalued by 
807 12TH ST,82K,131K,undervalued by 
722 6TH ST 724,82K,140K,undervalued by 
3642 STORY ST,82K,122K,undervalued by 
815 FURMAN DR,82K,118K,undervalued by 
2812 ARBOR ST,82K,121K,undervalued by 
1818 24TH ST,82K,137K,undervalued by 
217 15TH ST,82K,117K,undervalued by 
930 DUFF AVE,82K,137K,undervalued by 
2317 CLARK AVE,82K,135K,undervalued by 
906 MURRAY DR,82K,124K,undervalued by 
221 TODD CIR,82K,123K,undervalued by 
1411 20TH ST,82K,127K,undervalued by 
3304 OPAL DR 3306,82K,139K,undervalued by 
1230 MARSTON AVE,82K,132K,undervalued by 
713 CRAWFORD AVE,82K,126K,undervalued by 
1127 N 2ND ST,81K,128K,undervalued by 
1926 HUNZIKER DR,81K,124K,undervalued by 
320 S 2ND ST,81K,125K,undervalued by 
1400 BURNETT AVE,81K,128K,undervalued by 
720 10TH ST,81K,126K,undervalued by 
436 HAYWARD AVE,81K,126K,undervalued by 
1402 RIDGEWOOD AVE,81K,127K,undervalued by 
4923 SCHUBERT ST,81K,122K,undervalued by 
425 E 6TH ST,81K,116K,undervalued by 
1412 DUFF AVE,81K,132K,undervalued by 
3208 WOODLAND ST,81K,125K,undervalued by 
802 BURNETT AVE,81K,155K,undervalued by 
121 S RUSSELL AVE,81K,126K,undervalued by 
1312 S 2ND ST,81K,120K,undervalued by 
311 PEARSON AVE,81K,138K,undervalued by 
3448 SOUTHDALE DR,81K,130K,undervalued by 
821 DELAWARE AVE,81K,138K,undervalued by 
214 E 16TH ST,81K,116K,undervalued by 
2921 NORTHWESTERN AVE,81K,128K,undervalued by 
