PID,GrLivArea,school_quality,nb_income,nb_appreciation,crime_rate,YearBuilt,FullBath,HalfBath,BedroomAbvGr,YearRemodAdd,OverallQual,OverallCond,LotArea,X1stFlrSF,X2ndFlrSF,TotalBsmtSF,KitchenQual,GarageQual,BsmtQual,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood
910202050,796,6,6,3,0,1922,1,0,2,1950,4,4,3636,796,-,796,3,-,3,55000,188877.32676942027,-133877.32676942027,107 S MAPLE AVE,IDOTRR
903430130,693,5,6,5,0,1941,1,0,2,1950,4,4,4118,693,-,693,2,-,3,52500,185319.84581428656,-132819.84581428656,606 NORTHWESTERN AVE,OldTown
903476090,1864,5,6,5,0,1902,2,1,6,2000,7,5,5852,978,886,1020,3,-,3,97500,228749.3256159247,-131249.3256159247,731 5TH ST,OldTown
902331010,816,5,6,5,0,1910,1,0,2,1950,4,3,3300,816,-,624,3,-,3,58500,189629.82789189098,-131129.82789189098,322 7TH ST,OldTown
535379060,968,5,6,5,0,1927,2,0,4,2007,4,6,10800,968,-,656,3,2,3,64500,194557.97827716632,-130057.97827716632,1407 DOUGLAS AVE,OldTown
911128180,1128,6,6,3,0,1920,1,0,2,1950,4,4,7500,698,430,698,3,3,3,68400,198192.28338785272,-129792.28338785272,212 WASHINGTON AVE,IDOTRR
909101070,864,4,7,6,1,1914,1,0,2,1950,3,3,8212,864,-,864,3,3,3,58500,187788.7946823627,-129288.7946823627,2908 WOOD ST,Edwards
902325160,1440,5,6,5,0,1900,1,0,3,1950,5,4,5000,889,551,540,3,2,3,79000,208056.97132051818,-129056.97132051818,828 BURNETT AVE,OldTown
902402260,1086,5,6,5,0,1920,1,0,2,1950,2,1,11340,723,363,723,3,2,2,55000,183601.04292854978,-128601.04292854978,822 CARROLL AVE,OldTown
534451170,729,5,6,5,0,1935,1,0,2,2003,3,6,4130,729,-,270,3,-,3,52000,180486.66419796628,-128486.66419796628,1430 SUMMIT AVE,BrkSide
911226030,864,6,6,3,0,1920,1,1,3,1950,4,6,9000,432,432,592,2,2,2,65000,193142.43842199643,-128142.43842199643,116 CHERRY AVE,IDOTRR
908204180,1152,4,7,6,1,1955,2,0,2,1955,4,3,6882,1152,-,0,2,-,-,61500,188762.6388101446,-127262.63881014459,3412 TRIPP ST 3414,Edwards
902105130,672,5,6,5,0,1940,1,0,2,1950,5,4,4800,672,-,672,3,3,2,64000,191037.76894624397,-127037.76894624397,1126 CLARK AVE,OldTown
905480150,1096,4,7,6,1,1924,1,0,2,1950,6,5,9600,572,524,572,3,-,3,79000,205667.81612690742,-126667.81612690742,103 HOWARD AVE,Edwards
902305090,1774,5,6,5,0,1900,2,0,4,1950,4,2,9600,1095,679,1095,3,2,3,87000,212931.8429450638,-125931.8429450638,712 CLARK AVE,OldTown
902103120,1944,5,6,5,0,1910,2,0,4,1950,6,5,10307,972,972,972,3,2,3,103500,229310.94735349677,-125810.94735349677,621 11TH ST 619,OldTown
910205020,1192,6,6,3,0,1920,1,0,3,1950,5,5,6402,596,596,596,3,2,3,78000,203547.7447301225,-125547.7447301225,203 S MAPLE AVE,IDOTRR
902205070,407,5,6,5,0,1946,1,0,1,1950,2,5,7311,407,-,407,3,2,3,46500,171664.29620309756,-125164.29620309756,1101 MAXWELL AVE,OldTown
902456015,1020,6,6,3,0,1918,1,0,2,1950,3,3,4761,1020,-,1020,2,-,3,64500,188223.9843279723,-123723.98432797231,115 CENTER AVE,IDOTRR
531479020,784,2,5,5,5,1928,1,0,2,1950,6,3,9000,784,-,784,3,2,2,76000,199217.63596693214,-123217.63596693214,4603 HUTCHISON ST,SawyerW
910202030,816,6,6,3,0,1922,1,0,2,1950,5,7,3672,816,-,816,3,2,3,75200,198253.3729934403,-123053.37299344031,1108 LINCOLN WAY,IDOTRR
903454020,819,6,6,3,0,1919,1,0,2,1950,5,4,9000,819,-,610,4,-,3,72000,194620.36233593494,-122620.36233593494,1214 N 3RD ST,IDOTRR
902106060,2372,5,6,5,0,1892,2,0,4,1965,5,4,6600,1378,994,994,3,3,3,107500,229891.9837779835,-122391.98377798349,1003 WILSON AVE,OldTown
903458110,1406,6,6,3,0,1920,1,0,3,1950,6,7,7920,1035,371,319,2,-,3,89500,211834.2057924643,-122334.20579246429,1107 LINCOLN WAY,IDOTRR
902207110,840,5,6,5,0,1920,1,0,2,1950,3,4,5747,840,-,798,2,3,3,64000,186257.63109556487,-122257.63109556487,1009 MAXWELL AVE,OldTown
902100030,764,5,6,5,0,1925,1,0,2,2004,5,5,5232,764,-,680,3,3,2,73000,194537.53705382597,-121537.53705382597,618 13TH ST,OldTown
902330010,2358,5,6,5,0,1872,2,0,4,1987,8,5,5250,938,1215,684,3,-,3,122000,242756.06253982458,-120756.06253982458,114 8TH ST,OldTown
903204095,935,5,6,5,0,1930,1,0,2,1960,5,6,9100,779,-,742,3,3,3,79500,200055.4672875058,-120555.4672875058,1209 NORTHWESTERN AVE,BrkSide
902134100,899,5,6,5,0,1910,1,0,2,1950,5,6,6756,899,-,481,3,2,3,78000,198314.5375345319,-120314.5375345319,321 9TH ST,OldTown
902301060,1510,5,6,5,0,1910,2,0,3,1950,4,4,9600,833,677,677,4,3,2,87500,207775.76059132858,-120275.76059132858,809 CLARK AVE,OldTown
535353190,1458,5,2,4,1,1948,1,0,3,1950,6,5,17503,912,546,912,3,3,3,97500,217559.29814546,-120059.29814546,1404 GRAND AVE,NAmes
902325070,2138,5,6,5,0,1898,2,0,2,1965,5,5,8100,1075,1063,849,3,2,3,106000,225572.29747534014,-119572.29747534014,803 KELLOGG AVE,OldTown
923226250,1092,6,6,3,3,1970,1,1,3,1970,4,7,1476,546,546,546,3,-,3,76000,195491.18695584877,-119491.18695584877,619 MEADOW PL,MeadowV
909101060,864,4,7,6,1,1914,1,0,2,1950,3,3,8248,864,-,864,3,-,3,67000,186363.0173507219,-119363.0173507219,2910 WOOD ST,Edwards
527405130,864,5,2,4,1,1970,1,0,3,1970,4,6,7038,864,-,864,3,3,3,76500,195503.74648482125,-119003.74648482125,1202 WHEELER ST,NAmes
902206020,492,5,6,5,0,1921,1,0,1,1950,3,5,7830,492,-,492,3,2,2,61500,180304.2165179768,-118804.2165179768,118 E 11TH ST,OldTown
527450210,987,6,6,2,1,1973,1,1,2,1973,6,5,1953,483,504,483,3,3,3,83000,201699.35264684173,-118699.35264684173,1333 TRUMAN PL,BrDale
923228250,1092,6,6,3,3,1970,1,1,3,1970,4,5,2001,546,546,546,3,3,3,75000,193568.26718554593,-118568.26718554593,723 GARNET DR,MeadowV
534450090,334,5,6,5,0,1946,1,0,1,1950,1,3,5000,334,-,0,2,-,-,39300,157656.6254759094,-118356.62547590939,1501 SUMMIT AVE,BrkSide
905200160,1006,2,5,5,5,1959,1,0,3,1959,5,3,9000,1006,-,1006,3,-,3,80000,197981.79087937681,-117981.79087937681,1209 SCHOLL RD,Sawyer
903425270,1316,5,6,5,0,1926,1,0,4,1950,5,5,8550,960,356,750,3,3,2,90000,207866.71140428638,-117866.71140428638,616 RIDGEWOOD AVE,BrkSide
1007100110,1836,6,6,3,0,1900,2,0,4,1950,5,1,56600,1150,686,686,3,3,3,103000,220258.985763639,-117258.98576363901,2520 E LINCOLN WAY,IDOTRR
535377070,715,5,2,4,1,1929,1,0,2,1950,3,3,10914,715,-,715,3,2,3,68000,184956.4194292792,-116956.4194292792,1507 DUFF AVE,NAmes
903235100,520,5,6,5,0,1927,1,0,1,1950,4,6,6324,520,-,520,2,2,3,68500,185293.55305049813,-116793.55305049813,916 NORTHWESTERN AVE,BrkSide
527451290,987,6,6,2,1,1971,1,1,2,1971,6,5,1680,483,504,483,3,3,3,85400,201884.74721982534,-116484.74721982534,1358 BARKLEY CT,BrDale
905480160,1456,4,7,6,1,1948,1,0,4,1950,5,3,7585,1002,454,810,3,3,2,91500,207755.94284328574,-116255.94284328574,3011 LINCOLN WAY,Edwards
902402150,1022,5,6,5,0,1910,1,0,2,2006,5,4,7200,1022,-,1022,3,3,3,85000,201173.553266001,-116173.55326600099,217 E 7TH ST,OldTown
533350090,2944,7,5,9,6,1977,2,2,3,1977,9,3,24572,1599,1345,994,4,3,4,150000,266012.35278366995,-116012.35278366995,1712 AMHERST DR,Veenker
534451020,670,5,6,5,0,1945,1,0,2,1950,3,5,3500,442,228,370,2,-,3,64000,179969.89876844868,-115969.89876844868,1423 RIDGEWOOD AVE,BrkSide
923228390,1092,6,6,3,3,1976,1,1,3,1976,4,3,1890,546,546,546,3,3,3,75190,191032.66107004753,-115842.66107004753,3418 HARCOURT DR,MeadowV
535383060,599,5,6,5,0,1940,1,0,2,1950,2,5,5400,599,-,416,4,-,2,59000,174467.16238119075,-115467.16238119075,117 13TH ST,OldTown
527451410,1092,6,6,2,1,1971,1,1,3,1971,6,5,1680,525,567,525,3,3,3,88000,203465.74593613218,-115465.74593613218,1314 BARKLEY CT,BrDale
902106120,1022,5,6,5,0,1922,1,0,2,1950,5,5,4480,1022,-,1022,2,3,2,89500,204908.04607707303,-115408.04607707303,1004 GRAND AVE,OldTown
904302020,879,2,3,7,5,1936,1,0,2,1950,5,3,5220,879,-,830,3,3,3,80000,195175.78389563656,-115175.78389563656,2818 OAKLAND ST,SWISU
534450110,666,5,6,5,0,1946,1,0,2,1950,3,3,5000,666,-,666,4,-,2,64500,179658.0032430687,-115158.0032430687,1441 SUMMIT AVE,BrkSide
902204080,861,5,6,5,0,1920,1,0,2,1950,4,6,7404,861,-,861,3,3,2,80000,194674.7132652666,-114674.71326526659,1102 CARROLL AVE,OldTown
903231060,800,5,6,5,0,1936,1,0,1,1950,2,3,6120,800,-,264,2,-,3,60000,174550.6591267665,-114550.65912676649,1109 MARSTON AVE,BrkSide
911102180,1049,6,6,3,0,1910,1,0,2,2000,4,7,5150,671,378,356,3,1,1,80900,195231.29862831382,-114331.29862831382,202 S WALNUT AVE,IDOTRR
902304040,2210,5,6,5,0,1880,2,0,5,1950,6,4,9900,1178,1032,1008,2,2,3,117500,231819.15862955534,-114319.15862955534,721 CLARK AVE,OldTown
902109130,1701,5,6,5,0,1920,2,0,4,1950,4,6,7627,1101,600,600,2,-,2,94550,208614.65054991012,-114064.65054991012,633 9TH ST,OldTown
534451150,1306,5,6,5,0,1940,1,0,3,1966,3,2,5350,1306,-,728,2,-,3,76500,190454.48585393294,-113954.48585393294,1422 SUMMIT AVE,BrkSide
908226130,924,4,7,6,1,1941,1,0,2,1950,4,4,12180,672,252,672,2,3,4,80000,193896.2271718467,-113896.2271718467,3223 LETTIE ST,Edwards
923226180,630,6,6,3,3,1970,1,0,1,1970,4,6,1470,630,-,630,3,-,4,73000,186761.85065634843,-113761.85065634843,633 MEADOW PL,MeadowV
908102030,796,4,7,6,1,1910,1,0,2,1950,5,7,8777,796,-,796,3,-,2,85000,198597.6242501397,-113597.62425013969,304 SOUTH DAKOTA AVE,Edwards
902202150,1387,5,6,5,0,1954,2,0,3,1954,5,4,6000,811,576,811,4,3,3,93000,206529.91219477108,-113529.91219477108,1228 STAFFORD AVE,OldTown
909175080,438,2,3,7,5,1920,1,0,1,1950,2,5,8400,438,-,290,2,3,3,60000,173488.42250753866,-113488.42250753866,507 HAYWARD AVE,SWISU
923226290,1092,6,6,3,3,1972,1,1,3,1972,4,4,1484,546,546,546,3,3,3,79400,192751.613164365,-113351.613164365,611 MEADOW PL,MeadowV
911102090,1361,6,6,3,0,1895,1,0,2,1950,4,7,5280,825,536,173,3,2,1,89000,202347.92659243604,-113347.92659243604,233 WASHINGTON AVE,IDOTRR
904301375,904,4,7,6,1,1922,0,1,1,1950,1,1,10020,904,-,683,2,-,2,61000,174075.04298796505,-113075.04298796505,520 FOREST GLEN,Edwards
905377130,861,4,7,6,1,1940,1,0,1,1950,4,5,12342,861,-,861,3,3,3,82500,195501.3159588554,-113001.31595885541,214 HICKORY DR,Edwards
902401090,1248,5,6,5,0,1920,2,0,2,1950,5,7,5976,624,624,624,3,-,3,93500,206366.1158506849,-112866.1158506849,115 E 7TH ST,OldTown
923228210,1092,6,6,3,3,1970,1,1,3,1970,4,5,1526,546,546,546,3,-,3,79500,192254.4478288092,-112754.4478288092,719 MEADOW PL,MeadowV
910203100,672,6,6,3,0,1925,1,0,2,1950,4,4,8534,672,-,432,3,-,2,72000,184730.68643358457,-112730.68643358457,301 S RUSSELL AVE,IDOTRR
908275110,1560,4,7,6,1,1956,1,0,2,1956,5,5,11767,1560,-,1150,3,3,3,103500,216105.5982891077,-112605.5982891077,246 S FRANKLIN AVE,Edwards
909250030,1666,2,3,7,5,1931,1,0,3,1950,5,2,9839,894,772,894,3,-,3,100000,212563.9747925125,-112563.97479251251,2326 KNAPP ST,SWISU
904302260,1392,2,3,7,5,1915,1,0,3,1950,5,4,9900,1212,180,1212,3,-,3,100000,212525.63756629225,-112525.63756629225,250 CAMPUS AVE 248,SWISU
911104060,572,6,6,3,0,1925,1,0,2,1950,4,6,10200,572,-,572,3,3,3,75000,187291.42764790656,-112291.42764790656,317 WASHINGTON AVE,IDOTRR
923225440,1112,6,6,3,3,1976,1,1,3,1976,5,3,2592,536,576,536,3,3,4,85000,197234.59661370018,-112234.59661370018,535 MEADOW CT,MeadowV
527451450,948,6,6,2,1,1972,1,1,2,1972,6,5,1680,483,465,483,3,3,3,89000,201036.79263306703,-112036.79263306703,1464 BRECKINRIDGE CT,BrDale
904351200,1369,4,7,6,1,1925,2,0,3,1950,6,6,6629,697,672,672,3,3,3,103600,215608.70848886285,-112008.70848886285,2919 LINCOLN WAY,Edwards
903481100,1344,6,6,3,0,1915,2,0,3,1950,3,3,10320,808,536,536,3,-,3,82375,194257.8701284454,-111882.87012844539,1017 N 2ND ST,IDOTRR
911226010,894,6,6,3,0,1935,1,0,2,1950,3,4,18000,894,-,894,3,3,3,81000,192876.1408231231,-111876.1408231231,130 CHERRY AVE,IDOTRR
903476100,840,5,6,5,0,1930,1,0,3,1950,5,7,4388,840,-,672,3,-,3,87000,198756.9472954784,-111756.9472954784,510 NORTHWESTERN AVE,OldTown
909253190,790,2,3,7,5,1930,1,0,2,1950,6,5,6292,790,-,768,3,2,4,91000,202140.42758309015,-111140.42758309015,612 STANTON AVE,SWISU
923225300,1092,6,6,3,3,1973,1,1,3,1973,4,5,1974,546,546,546,3,3,3,83500,194544.45983211097,-111044.45983211097,3413 HARCOURT DR,MeadowV
902136110,1080,5,6,5,0,1890,1,0,3,1996,5,9,5914,684,396,684,4,-,2,95000,205799.84028683577,-110799.84028683577,111 9TH ST,OldTown
905101100,1020,2,5,5,5,1875,1,0,2,1996,5,8,6342,780,240,780,3,-,3,94000,204746.25997711328,-110746.25997711328,4004 ONTARIO ST,Sawyer
527451400,987,6,6,2,1,1971,1,1,2,1971,6,3,1680,483,504,483,3,3,3,89500,200222.33146321322,-110722.33146321322,1318 BARKLEY CT,BrDale
923226320,630,6,6,3,3,1972,1,0,1,1972,4,6,1491,630,-,630,3,-,4,75500,186205.5007688224,-110705.50076882241,605 MEADOW PL,MeadowV
903230120,896,5,6,5,0,1946,1,0,2,1950,4,7,5940,896,-,0,3,3,-,79000,189644.08316063174,-110644.08316063174,1005 CURTISS AVE,BrkSide
534451130,747,5,6,5,0,1926,1,0,1,1953,4,5,5825,747,-,600,3,3,2,79900,190533.2213989543,-110633.22139895431,1414 SUMMIT AVE,BrkSide
903228070,1142,5,6,5,0,1924,1,0,3,1950,5,5,6000,822,320,468,3,3,3,93000,203460.06427976917,-110460.06427976917,803 12TH ST,BrkSide
902125160,747,5,6,5,0,1945,1,0,2,1950,4,6,4608,747,-,747,3,3,3,80000,190344.96688233,-110344.96688232999,1230 BURNETT AVE,OldTown
910201020,803,6,6,3,0,1941,1,0,2,1950,5,6,5000,803,-,720,3,3,3,87000,197296.59432099925,-110296.59432099925,1224 LINCOLN WAY,IDOTRR
903230100,1301,5,6,5,0,1924,1,0,2,1950,5,5,6911,1301,-,1145,2,3,3,100000,210096.4976702649,-110096.49767026489,1015 CURTISS AVE,BrkSide
923228370,1092,6,6,3,3,1972,1,1,3,1972,4,6,1890,546,546,546,3,3,3,85500,195562.22553533653,-110062.22553533653,3422 HARCOURT DR,MeadowV
908102020,1436,4,7,6,1,1910,2,0,3,2000,4,6,8777,760,676,676,3,3,4,98000,207131.68379015807,-109131.68379015807,308 SOUTH DAKOTA AVE,Edwards
909250210,1522,2,3,7,5,1926,2,0,4,1950,5,5,6000,1008,-,1008,3,-,3,102000,211110.45592049215,-109110.45592049215,424 STANTON AVE,SWISU
923228080,1092,6,6,3,3,1970,2,1,3,2007,6,9,1477,546,546,546,3,-,3,98000,207044.91222102757,-109044.91222102757,626 MEADOW PL,MeadowV
903228060,1342,5,6,5,0,1939,2,0,2,1950,6,5,6000,874,468,739,3,3,3,105000,213792.07662575605,-108792.07662575605,1209 HARDING AVE,BrkSide
908204160,1152,4,7,6,1,1955,2,0,2,1955,4,5,6845,1152,-,0,3,-,-,82500,191230.348929436,-108730.348929436,238 VILLAGE DR 240,Edwards
902206240,1245,5,6,5,0,1920,1,0,3,1962,5,6,8239,1060,185,1008,3,3,3,100000,208678.45874739968,-108678.45874739968,922 DUFF AVE,OldTown
905480240,1111,4,7,6,1,1941,1,0,3,1950,5,6,9084,616,495,616,3,3,3,95000,203619.43649920216,-108619.43649920216,3121 LINCOLN WAY,Edwards
903232030,808,5,6,5,0,1945,1,0,1,1995,5,6,6120,808,-,0,3,3,-,81300,189917.2777311155,-108617.2777311155,1119 ROOSEVELT AVE,BrkSide
904350045,919,2,3,7,5,1940,1,0,3,1950,6,5,6001,600,319,600,3,3,2,95000,203316.91985413255,-108316.91985413255,3002 WOODLAND ST,SWISU
908203090,876,4,7,6,1,1959,1,0,3,1959,4,5,6410,876,-,876,3,3,3,85000,193315.00622844734,-108315.00622844734,302 VILLAGE DR,Edwards
531477020,841,2,5,5,5,1950,1,0,2,1950,4,4,8400,841,-,721,3,3,3,82000,190218.39952114876,-108218.39952114876,1515 NORTH DAKOTA AVE,SawyerW
903452025,768,6,6,3,0,1930,1,0,1,1950,6,6,6291,768,-,768,3,3,3,93850,202063.48074668713,-108213.48074668713,1114 N 4TH ST,IDOTRR
903475060,1889,5,6,5,0,1910,1,1,4,1950,7,4,10120,964,925,925,3,3,3,122000,230108.57827755206,-108108.57827755206,519 NORTHWESTERN AVE 521,OldTown
909281030,1091,2,3,7,5,1951,1,0,2,1951,6,5,7801,1091,-,1091,3,3,3,104000,212061.65063537392,-108061.65063537392,2006 KILDEE ST,Crawfor
905480090,1362,4,7,6,1,1920,2,0,4,1950,4,5,7550,986,376,951,3,2,3,96000,204054.50217868458,-108054.50217868458,3022 STORY ST,Edwards
904352190,1680,2,3,7,5,1910,2,0,2,1950,5,7,6048,936,744,856,3,3,3,114900,222851.8600027018,-107951.86000270181,2825 LINCOLN WAY,SWISU
910206010,845,6,6,3,0,1939,1,0,1,1950,2,4,11067,640,-,0,3,3,-,68104,175961.10526267104,-107857.10526267104,328 S RUSSELL AVE,IDOTRR
905475520,943,4,7,6,1,1958,1,0,3,1994,4,5,11515,943,-,0,4,3,-,80000,187744.5355247281,-107744.5355247281,309 COLORADO CIR,Edwards
911225110,936,6,6,3,0,1916,1,0,2,1950,3,5,8520,576,360,216,3,-,2,78000,185742.84922042303,-107742.84922042303,119 CHERRY AVE,IDOTRR
534451080,720,5,6,5,0,1949,1,0,2,1950,3,6,6627,720,-,0,3,3,-,72500,180151.48633604377,-107651.48633604377,1401 RIDGEWOOD AVE,BrkSide
535383120,725,5,6,5,0,1890,1,1,1,1998,3,5,10800,725,-,630,3,3,3,78500,186053.3403562674,-107553.3403562674,1326 DOUGLAS AVE,OldTown
903225160,1290,5,6,5,0,1900,1,1,3,2000,6,9,5870,736,554,554,3,2,3,106900,214380.74837950748,-107480.74837950748,1232 NORTHWESTERN AVE,BrkSide
923226300,1092,6,6,3,3,1972,1,1,3,1972,4,4,1504,546,546,546,3,3,3,85500,192821.18901581565,-107321.18901581565,609 MEADOW PL,MeadowV
923228420,630,6,6,3,3,1972,1,0,1,1972,4,7,1890,630,-,630,3,-,4,81000,187951.20871179868,-106951.20871179868,3412 HARCOURT DR,MeadowV
535327230,1764,5,2,4,1,1957,2,1,4,1982,5,3,8838,1764,-,0,3,3,-,100000,206895.34826932088,-106895.34826932088,1714 DOUGLAS AVE,NAmes
902108060,1004,5,6,5,0,1930,1,0,2,1950,7,8,3960,502,502,502,4,2,3,105000,211863.90469186526,-106863.90469186526,417 10TH ST,OldTown
903225150,765,5,6,5,0,1925,1,0,2,1950,4,7,5000,765,-,765,4,2,3,87000,193854.8143404413,-106854.81434044131,1226 NORTHWESTERN AVE,BrkSide
902332030,2291,5,6,5,0,1910,2,0,4,1998,6,6,7200,1260,1031,1214,3,3,3,133900,240749.18909827128,-106849.18909827128,621 DOUGLAS AVE 101,OldTown
903235020,616,5,6,5,0,1921,1,0,2,1950,5,7,6000,616,-,616,3,3,3,89000,195826.8883099895,-106826.8883099895,1018 10TH ST,BrkSide
902134120,1447,5,6,5,0,1910,1,0,3,1950,5,5,10134,801,646,801,3,-,2,103000,209757.56968530628,-106757.56968530628,910 BURNETT AVE,OldTown
527451520,987,6,6,2,1,1972,1,1,2,1972,6,5,1680,483,504,483,3,3,3,94500,201089.3194676896,-106589.31946768961,1436 BRECKINRIDGE CT,BrDale
905477050,1347,4,7,6,1,1910,1,0,3,1991,5,7,7000,820,527,1117,3,-,4,107500,213995.51660159338,-106495.51660159338,219 WILMOTH AVE 221,Edwards
908226180,774,4,7,6,1,1931,1,0,3,2006,3,6,4270,774,-,544,4,-,3,79000,185489.73327604434,-106489.73327604434,110 S WILMOTH AVE,Edwards
909250080,1242,2,3,7,5,1935,1,1,3,1950,6,6,5707,647,595,583,3,2,3,105000,211446.5011365158,-106446.50113651581,2312 KNAPP ST,SWISU
909100080,1296,2,3,7,5,1924,2,0,2,1999,5,6,4853,1296,-,1107,2,3,3,104000,210389.4469114422,-106389.44691144221,2816 LINCOLN WAY,SWISU
534453140,906,5,6,5,0,1937,1,0,2,1950,4,7,4882,453,453,348,3,2,3,87000,193347.5654999785,-106347.56549997849,1406 RIDGEWOOD AVE,BrkSide
534451120,869,5,6,5,0,1923,1,0,2,1958,4,7,5900,869,-,440,2,-,4,85500,191844.63820986263,-106344.63820986263,1410 SUMMIT AVE,BrkSide
903232170,912,5,6,5,0,1947,1,0,2,1950,4,5,6240,672,240,0,3,-,-,80500,186657.5343590622,-106157.5343590622,1014 MARSTON AVE,BrkSide
527226020,1474,10,5,6,5,1952,1,0,3,1952,6,2,31220,1474,-,1632,3,3,3,115000,221142.9979884845,-106142.99798848451,3920 DAWES DR,Gilbert
534450150,708,5,6,5,0,1940,1,0,2,1950,4,7,5330,708,-,420,2,-,3,82500,188561.6159494602,-106061.61594946019,1427 SUMMIT AVE,BrkSide
909254140,694,2,3,7,5,1913,1,0,2,2002,5,6,4280,694,-,440,4,4,3,90350,196284.13018219656,-105934.13018219656,2231 STORM ST,Crawfor
527451540,987,6,6,2,1,1972,1,1,2,1972,6,6,1680,483,504,483,3,3,3,97000,202842.8575862146,-105842.85758621461,1428 BRECKINRIDGE CT,BrDale
908102130,1664,4,7,6,1,1965,2,0,4,1965,5,5,9825,1664,-,0,3,-,-,100000,205833.25240075245,-105833.25240075245,213 TODD CIR,Edwards
527451180,987,6,6,2,1,1971,1,1,2,1971,6,5,1680,483,504,483,3,3,3,96000,201811.5718303399,-105811.5718303399,1315 BARKLEY CT,BrDale
535150070,1738,5,2,4,1,1920,2,0,4,2007,4,4,12513,1281,457,715,3,3,3,104900,210711.23995176353,-105811.23995176353,2201 BARR DR,NAmes
923228110,630,6,6,3,3,1970,1,0,1,1970,4,4,1477,630,-,630,3,3,4,80000,185803.3084729521,-105803.3084729521,632 MEADOW PL,MeadowV
905101330,1296,2,5,5,5,1967,2,0,2,1967,4,5,10791,1296,-,0,3,3,-,90000,195669.11723038508,-105669.11723038508,3915 QUEBEC ST,Sawyer
923228230,1092,6,6,3,3,1970,1,1,3,1970,4,4,2217,546,546,546,3,3,3,88000,193553.5184031608,-105553.5184031608,727 GARNET DR,MeadowV
902206260,886,5,6,5,0,1938,1,0,2,1996,5,8,5784,886,-,190,3,3,2,91300,196538.8890340515,-105238.8890340515,926 DUFF AVE,OldTown
534479120,1376,5,2,4,1,1941,1,0,3,1950,5,5,9492,968,408,768,3,3,3,105000,210077.11296668087,-105077.11296668087,1329 GRAND AVE,NAmes
905201030,756,2,5,5,5,1927,1,0,2,1950,4,4,9259,756,-,660,3,3,2,85000,190062.54382346492,-105062.54382346492,1235 MICHIGAN AVE,Sawyer
905480030,1258,4,7,6,1,1939,1,0,2,1950,6,5,9060,698,560,560,3,3,3,105000,210000.1693879697,-105000.16938796971,3122 STORY ST,Edwards
903234160,986,5,6,5,0,1926,1,0,2,1950,6,5,6180,986,-,960,3,3,3,102000,206936.12281385806,-104936.12281385806,717 10TH ST,BrkSide
532351140,1902,2,5,5,5,1978,2,0,4,1978,6,5,8930,1318,584,0,3,3,-,112000,216831.1157639547,-104831.1157639547,4301 TORONTO ST,Sawyer
535126100,1392,5,2,4,1,1968,1,0,2,1968,6,3,13560,1392,-,1392,3,3,2,110000,214686.19351368296,-104686.19351368296,2407 DUFF AVE,NAmes
905228050,660,2,5,5,5,1947,1,0,2,1950,2,2,9000,660,-,0,2,-,-,63900,168508.11266055857,-104608.11266055857,1101 IOWA AVE,Sawyer
903457130,1315,6,6,3,0,1958,2,0,3,1958,4,6,4330,838,477,808,3,3,2,99500,204006.3458232291,-104506.34582322909,108 N RUSSELL AVE,IDOTRR
535377100,720,5,6,5,0,1900,1,0,1,1998,4,8,7008,448,272,448,2,2,2,86900,191387.35138248524,-104487.35138248524,1502 DOUGLAS AVE,OldTown
