Prop_Addr,LandSlope,OverallQual,OverallCond,ExterQual,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageQual,PavedDrive,Fence,GrLivArea,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,X2ndFlrSF,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,MoSold,MSSubClass_30,MSSubClass_120,MSSubClass_160,MSSubClass_190,MSZoning_FV,LandContour_Bnk,LandContour_HLS,LotConfig_CulDSac,LotConfig_FR2,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_Gilbert,Neighborhood_Mitchel,Neighborhood_NPkVill,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_StoneBr,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition2_PosN,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,RoofStyle_Hip,Exterior1st_BrkFace,Exterior1st_HdBoard,Exterior1st_Wd.Sdng,Exterior2nd_HdBoard,Exterior2nd_Plywood,MasVnrType_BrkFace,Foundation_PConc,CentralAir_N,SaleCondition_Abnorml,SaleCondition_Family,SaleCondition_Partial,crime_rate,school_quality,HouseAge,LastRemod,nb_appreciation,nb_income
2209 STONE BROOKE RD,3,6,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1608,88,10179,0,847,0,98,945,663,470,252,30,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,12,12,6,5
4006 HYDE AVE,3,8,5,3,4,3,3,5,0,0,1,4,1,4,8,4,3,3,0,2283,0,11792,188,850,0,158,1008,1275,632,120,46,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,6,6,6,5
4012 HYDE AVE,3,7,5,3,4,3,3,5,0,0,1,3,1,4,8,4,3,3,0,1733,0,12394,0,0,0,847,847,886,433,100,48,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,10,4,4,6,5
4033 EISENHOWER AVE,3,7,5,2,4,3,1,4,0,0,1,4,1,4,8,3,3,3,0,2236,0,13006,285,0,0,964,964,1243,642,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,10,9,9,6,5
4009 EISENHOWER AVE,3,6,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1470,65,8139,119,476,0,204,680,790,420,192,49,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,13,12,6,5
4008 BERKSHIRE AVE,3,6,5,2,4,3,3,5,0,0,1,3,1,3,8,0,3,3,0,1604,59,9535,0,851,0,75,926,678,472,100,82,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,10,10,6,5
4014 BERKSHIRE AVE,3,6,5,2,4,3,3,4,1,0,1,3,1,3,8,3,3,3,0,1638,59,9042,0,828,0,115,943,695,472,100,38,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,10,10,6,5
3902 EISENHOWER AVE,3,6,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1636,0,15038,0,138,0,778,916,720,386,168,84,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,12,12,6,5
3908 EISENHOWER AVE,3,6,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1671,0,13041,0,0,0,781,781,890,423,0,84,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,11,11,6,5
3914 EISENHOWER AVE,3,6,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1498,0,13031,0,592,0,99,691,807,409,315,44,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,11,10,6,5
1910 WYNGATE DR,3,6,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1572,0,10364,0,0,0,806,806,766,373,0,40,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,12,11,6,5
1936 WYNGATE DR,3,5,5,3,4,3,1,4,1,0,0,3,1,4,8,0,3,3,0,1384,53,14137,0,450,0,898,1348,0,404,0,39,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,12,11,6,5
1948 WYNGATE DR,3,6,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1776,54,9783,0,0,0,821,821,955,443,286,116,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,10,10,6,5
1952 WYNGATE DR,3,7,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1628,60,8400,32,284,0,100,384,670,390,48,72,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,10,13,12,6,5
2023 WYNGATE DR,3,7,5,2,4,3,3,5,0,1,1,3,1,3,8,3,3,3,0,1446,57,21872,0,604,0,125,729,717,406,264,22,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,12,11,6,5
2035 WYNGATE DR,3,6,5,2,4,3,4,4,1,0,1,3,1,3,8,3,3,3,0,1511,70,11207,0,714,0,88,802,709,413,95,75,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,9,9,6,5
4313 HARRISON CIR,3,8,5,3,4,3,1,5,0,0,1,4,1,4,8,4,3,3,0,2064,50,13128,216,0,0,1074,1074,990,527,0,119,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,1,1,6,5
4309 HARRISON CIR,3,8,5,3,4,3,1,5,0,0,1,3,1,4,8,4,3,3,0,1801,72,10463,0,0,0,893,893,900,800,0,116,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,1,1,6,5
4301 HARRISON CIR,3,7,5,3,4,3,4,5,1,0,1,3,1,4,8,4,3,3,0,2212,42,13751,248,60,0,1640,1700,512,773,237,38,0,0,115,0,5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,10,1,0,6,5
4302 HARRISON CIR,3,9,5,4,5,3,3,5,1,0,0,3,1,5,8,4,3,3,0,1746,42,14892,160,1320,0,426,1746,0,758,201,39,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,3,2,6,5
4316 HARRISON CIR,3,7,5,3,5,4,1,5,0,0,1,3,1,4,8,4,3,3,0,2021,168,23257,0,0,0,868,868,1134,422,0,100,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,10,0,0,6,5
1909 WYNGATE DR,3,7,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1474,0,8530,22,0,0,384,384,670,400,120,72,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,10,14,13,6,5
2006 WYNGATE DR,3,6,6,2,4,3,4,4,0,1,0,3,1,3,8,0,3,3,0,1470,0,13869,0,182,0,612,794,676,388,0,75,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,10,10,6,5
2036 WYNGATE DR,3,6,5,2,4,3,4,4,0,0,1,3,1,3,8,3,3,3,0,1600,57,8773,0,0,0,916,916,684,460,100,38,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,10,10,6,5
2040 WYNGATE DR,3,6,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1384,56,8872,0,0,0,384,384,630,390,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,10,10,6,5
4321 STONE BROOKE RD,3,8,5,3,4,3,4,5,1,0,0,2,1,5,8,0,3,3,0,1652,41,5330,0,1196,0,298,1494,0,499,96,48,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,7,7,6,5
1801 WATERBURY CIR,3,8,5,3,5,3,4,5,1,0,0,1,1,4,8,4,3,3,0,2522,28,7296,0,1965,0,243,2208,0,564,182,57,0,0,0,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,5,4,6,5
1814 WATERBURY CIR,3,8,5,3,5,3,4,5,1,0,1,0,1,5,8,4,3,3,0,1593,41,4923,0,1153,0,440,1593,0,682,0,120,0,0,224,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,7,6,6,5
1818 WATERBURY CIR,3,8,5,3,4,3,2,5,1,0,0,2,1,4,8,0,3,3,0,1338,41,4920,0,616,0,722,1338,0,582,0,0,170,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,9,9,6,5
4239 STONE BROOKE RD,3,8,5,3,4,3,1,5,1,0,0,2,1,5,8,5,3,3,0,1659,40,5664,0,1158,0,343,1501,0,499,212,59,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,9,9,6,5
4207 STONE BROOKE RD,3,8,5,3,5,3,2,5,1,0,1,1,1,4,7,3,3,3,0,1682,45,6264,0,656,0,1008,1664,0,528,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,11,11,6,5
4202 STONE BROOKE RD,3,8,5,2,4,3,4,5,1,0,0,2,1,3,8,0,3,3,0,1478,61,7380,0,341,0,1077,1418,0,495,168,43,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,11,11,6,5
4029 FLETCHER BLVD,3,8,5,3,4,3,1,4,1,0,0,2,1,4,8,3,3,3,0,1337,41,5395,0,733,0,604,1337,0,462,96,0,70,168,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,15,15,6,5
4024 FLETCHER BLVD,3,8,5,3,4,3,1,5,0,0,0,2,1,4,8,0,3,3,0,1280,43,5005,0,263,0,1017,1280,0,506,0,82,0,0,144,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,18,18,6,5
4028 FLETCHER BLVD,3,8,5,3,4,3,2,5,0,0,0,2,1,4,8,0,3,3,0,1280,39,5070,0,0,0,1280,1280,0,506,0,82,0,0,144,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,16,16,6,5
4139 STONE BROOKE RD,3,8,5,3,4,3,1,5,1,0,0,2,1,4,8,0,3,3,0,1734,57,8013,0,741,0,846,1587,0,528,52,50,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,14,13,6,5
4131 STONE BROOKE RD,3,8,5,3,4,3,1,5,1,0,0,2,1,4,8,3,3,3,0,1616,39,5389,0,1180,0,415,1595,0,608,237,152,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,15,14,6,5
4019 STONE BROOKE RD,3,8,5,3,4,3,1,5,0,0,1,4,1,4,8,0,3,3,0,2687,68,13108,0,0,0,2062,2062,608,618,168,12,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,12,12,6,5
1911 STONE BROOKE RD,3,6,6,2,4,3,1,4,0,1,0,3,1,3,8,3,3,3,3,1169,0,8076,112,705,0,455,1160,0,402,0,26,0,0,144,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,10,13,12,6,5
3928 BROOKDALE CIR,3,6,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,3,1694,0,10147,32,186,0,206,392,770,398,256,64,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,10,13,13,6,5
3839 BERKSHIRE AVE,3,6,5,2,4,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1604,100,10839,0,0,0,926,926,678,470,0,36,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,11,10,6,5
3823 BERKSHIRE AVE,3,7,5,3,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1382,57,8923,0,189,0,195,384,631,396,256,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,11,11,6,5
3842 HYDE AVE,3,6,5,2,4,3,1,4,1,0,1,3,1,3,8,3,3,3,0,1714,0,8637,0,871,0,52,923,767,451,256,48,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,10,8,7,6,5
3813 EISENHOWER AVE,3,7,5,3,4,3,1,4,0,0,1,3,1,4,8,0,3,3,0,1553,63,7875,0,414,0,277,691,862,420,0,44,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,10,11,11,6,5
3809 EISENHOWER AVE,3,7,5,2,4,4,1,4,0,0,0,3,1,3,8,3,3,3,0,1253,63,7875,38,0,0,1237,1237,0,402,220,21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,10,12,11,6,5
3806 BERKSHIRE AVE,3,7,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,0,1718,74,10141,40,0,0,832,832,833,427,0,94,0,0,291,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,11,11,6,5
3810 BERKSHIRE AVE,3,6,5,3,4,3,1,4,1,0,1,3,1,3,8,3,3,3,0,1636,60,7500,0,476,0,476,952,684,440,0,84,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,11,10,6,5
3814 BERKSHIRE AVE,3,7,5,2,3,3,1,4,0,0,1,3,1,4,8,3,3,3,0,1804,60,7500,0,0,0,994,994,776,442,140,60,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,11,11,6,5
