PID,LotArea,GarageArea,Latitude,Longitude,GrLivArea,school_quality,nb_income,nb_appreciation,crime_rate,YearBuilt,FullBath,HalfBath,BedroomAbvGr,YearRemodAdd,OverallQual,OverallCond,X1stFlrSF,X2ndFlrSF,TotalBsmtSF,KitchenQual,GarageQual,BsmtQual,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood,Value
526353050,12925,550,42.051257,-93.616288,2117,5,2,4,1,1970,2,1,4,1970,6,7,2117,-,1205,3,3,3,237500,235542.5925445652,1957.4074554347899,2907 DUFF AVE,NAmes,fair price
526354020,11727,506,42.05034167989689,-93.61746741627456,1851,5,2,4,1,1969,2,0,3,1969,7,6,1851,-,1851,3,3,3,192100,234996.2760080821,-42896.27600808209,2919 NORTHWOOD DR,NAmes,fair price
526354070,11075,576,42.049363748381104,-93.6174714724021,2112,5,2,4,1,1969,2,1,4,1969,6,5,1092,1020,952,3,3,2,206900,231211.3234519174,-24311.323451917386,2811 NORTHWOOD DR,NAmes,fair price
526355080,13860,538,42.04929427138124,-93.61548374429667,2704,5,2,4,1,1972,2,1,4,1995,8,7,2000,704,1952,5,3,4,345000,263475.8417357762,81524.15826422378,2802 THOMPSON DR,NAmes,overvalued
526355170,13651,516,42.049566067367955,-93.61723704898948,2223,5,2,4,1,1973,2,0,3,1973,7,6,2223,-,2223,3,3,4,244000,252111.47648992756,-8111.4764899275615,2820 NORTHWOOD DR,NAmes,fair price
526355190,15865,621,42.05032721169686,-93.61724350547,2217,5,2,4,1,1970,2,0,4,1970,8,6,2217,-,2217,4,3,3,268000,252644.21736361226,15355.78263638774,2910 NORTHWOOD DR,NAmes,fair price
527105010,13830,482,42.06086624608271,-93.6389765770365,1629,10,5,6,5,1997,2,1,3,1998,5,5,928,701,928,3,3,4,189900,216627.43455966434,-26727.43455966434,4025 BERKSHIRE AVE,Gilbert,fair price
527105030,9978,470,42.060764951356745,-93.63896732740673,1604,10,5,6,5,1998,2,1,3,1998,6,6,926,678,926,4,3,3,195500,221521.98215019293,-26021.982150192925,4011 BERKSHIRE AVE,Gilbert,fair price
527105050,8702,470,42.06006791332484,-93.63907908074022,1604,10,5,6,5,1997,2,1,3,1998,6,5,926,678,926,3,3,3,187500,219596.6624621717,-32096.66246217169,3913 BERKSHIRE AVE,Gilbert,fair price
527105060,8238,400,42.06002552297214,-93.63908853643554,1525,10,5,6,5,1997,2,1,3,1998,6,5,813,712,813,3,3,3,183500,217152.4275218806,-33652.4275218806,3907 BERKSHIRE AVE,Gilbert,fair price
527105070,10179,470,42.05994583673469,-93.63922063265306,1608,10,5,6,5,1997,2,1,3,1997,6,5,945,663,945,3,3,4,189500,220768.15012764442,-31268.150127644418,2209 STONE BROOKE RD,Gilbert,fair price
527105130,11792,632,42.06081248688973,-93.64015721921797,2283,10,5,6,5,2003,2,1,4,2003,8,5,1008,1275,1008,4,3,4,270000,246394.16628485656,23605.83371514344,4006 HYDE AVE,Gilbert,fair price
527105140,12394,433,42.060855970275746,-93.64016214507029,1733,10,5,6,5,2003,2,1,3,2003,7,5,847,886,847,4,3,4,225000,226097.5507482402,-1097.5507482402027,4012 HYDE AVE,Gilbert,fair price
527106010,13006,642,42.06150951715559,-93.63794834427313,2236,10,5,6,5,1997,2,1,4,1997,7,5,993,1243,964,4,3,4,222000,237399.05497600156,-15399.054976001556,4033 EISENHOWER AVE,Gilbert,fair price
527106050,8139,420,42.06079867245493,-93.63774189850938,1470,10,5,6,5,1995,2,1,3,1996,6,5,680,790,680,3,3,4,165000,215310.43174530342,-50310.43174530342,4009 EISENHOWER AVE,Gilbert,fair price
527106140,9535,472,42.06075994872547,-93.63873755367473,1604,10,5,6,5,1998,2,1,3,1998,6,5,926,678,926,3,3,4,195500,219584.98180654435,-24084.981806544354,4008 BERKSHIRE AVE,Gilbert,fair price
527106150,9042,472,42.0608049049749,-93.63874104084711,1638,10,5,6,5,1998,2,1,3,1998,6,5,943,695,943,3,3,4,192000,221367.62185846726,-29367.62185846726,4014 BERKSHIRE AVE,Gilbert,fair price
527107010,15038,386,42.05987485826613,-93.63750893207487,1636,10,5,6,5,1996,2,1,3,1996,6,5,916,720,916,3,3,4,173000,219357.36055042906,-46357.36055042906,3902 EISENHOWER AVE,Gilbert,fair price
527107020,13041,423,42.059904433064496,-93.63749972829943,1671,10,5,6,5,1995,2,1,3,1995,6,5,781,890,781,3,3,4,170000,218717.76677689952,-48717.766776899516,3908 EISENHOWER AVE,Gilbert,fair price
527107030,13031,409,42.059934007862864,-93.63749052452401,1498,10,5,6,5,1995,2,1,3,1996,6,5,691,807,691,3,3,4,187500,216512.41088361046,-29012.410883610457,3914 EISENHOWER AVE,Gilbert,fair price
527107040,10364,373,42.06053909361631,-93.63693627207762,1572,10,5,6,5,1995,2,1,3,1996,6,5,806,766,806,3,3,4,168000,216322.76445491405,-48322.76445491405,1910 WYNGATE DR,Gilbert,fair price
527107090,14137,404,42.060953520561974,-93.63584734952138,1384,10,5,6,5,1996,2,0,3,1997,5,5,1384,-,1348,4,3,4,177900,211942.18504326575,-34042.18504326575,1936 WYNGATE DR,Gilbert,fair price
527107120,9783,443,42.06144056645819,-93.6356765293179,1776,10,5,6,5,1996,2,1,3,1996,6,5,821,955,821,3,3,4,202000,220699.7725476778,-18699.7725476778,1948 WYNGATE DR,Gilbert,fair price
527107130,8400,390,42.06162008936728,-93.63567359736633,1628,10,5,6,5,1996,2,1,3,1997,7,5,958,670,384,3,3,4,189000,220582.0014352447,-31582.00143524469,1952 WYNGATE DR,Gilbert,fair price
527107210,21872,406,42.0607983,-93.6364315,1446,10,5,6,5,1996,2,1,3,1997,7,5,729,717,729,3,3,4,175000,222354.72827321262,-47354.72827321262,2023 WYNGATE DR,Gilbert,fair price
527107240,11207,413,42.0607983,-93.6364315,1511,10,5,6,5,1997,2,1,3,1997,6,5,802,709,802,3,3,4,185000,218086.9330451305,-33086.933045130514,2035 WYNGATE DR,Gilbert,fair price
527108030,13128,527,42.06281190009081,-93.6360580066801,2064,10,5,6,5,2005,2,1,4,2005,8,5,1074,990,1074,4,3,4,250000,239022.1101746537,10977.889825346298,4313 HARRISON CIR,Gilbert,fair price
527108040,10463,800,42.06279969481224,-93.63602729662435,1801,10,5,6,5,2005,2,1,3,2005,8,5,901,900,893,4,3,4,239900,233123.8427224768,6776.157277523191,4309 HARRISON CIR,Gilbert,fair price
527108060,13751,773,42.062807,-93.635963,2212,10,5,6,5,2005,2,1,3,2006,7,5,1700,512,1700,4,3,4,309000,242705.81557886803,66294.18442113197,4301 HARRISON CIR,Gilbert,overvalued
527108070,14892,758,42.06297980174738,-93.63597536209686,1746,10,5,6,5,2006,2,0,3,2007,9,5,1746,-,1746,5,3,5,377500,246968.21809019108,130531.78190980892,4302 HARRISON CIR,Gilbert,overvalued
527108090,23257,422,42.062991697905794,-93.63605879162317,2021,10,5,6,5,2006,2,1,3,2006,7,5,887,1134,868,4,3,5,274725,233378.89653268992,41346.10346731008,4316 HARRISON CIR,Gilbert,fair price
527110020,8530,400,42.060674292874886,-93.63712424040322,1474,10,5,6,5,1995,2,1,3,1996,7,5,804,670,384,3,3,4,168500,216784.26598300005,-48284.26598300005,1909 WYNGATE DR,Gilbert,fair price
527110080,13869,388,42.0607983,-93.6364315,1470,10,5,6,5,1997,2,0,3,1997,6,6,794,676,794,3,3,4,177000,215634.61490166752,-38634.61490166752,2006 WYNGATE DR,Gilbert,fair price
527110120,8773,460,42.0607983,-93.6364315,1600,10,5,6,5,1997,2,1,3,1997,6,5,916,684,916,3,3,4,169000,218035.5421248329,-49035.54212483289,2036 WYNGATE DR,Gilbert,fair price
527110130,8872,390,42.0607983,-93.6364315,1384,10,5,6,5,1997,2,1,3,1997,6,5,754,630,384,3,3,4,161500,209946.3138956425,-48446.313895642495,2040 WYNGATE DR,Gilbert,fair price
527126030,5330,499,42.063184675,-93.634378025,1652,10,5,6,5,2000,2,0,2,2000,8,5,1652,-,1494,5,3,4,251000,234361.13475611852,16638.865243881475,4321 STONE BROOKE RD,StoneBr,fair price
527127100,7296,564,42.06313658641084,-93.63407101380041,2522,10,5,6,5,2004,2,0,1,2005,8,5,2522,-,2208,4,3,5,375000,259296.86525050265,115703.13474949735,1801 WATERBURY CIR,StoneBr,overvalued
527127140,4923,682,42.063138921202615,-93.63370723672807,1593,10,5,6,5,2001,1,1,0,2002,8,5,1593,-,1593,5,3,5,286000,236807.7201476845,49192.27985231549,1814 WATERBURY CIR,StoneBr,fair price
527127150,4920,582,42.06314183901623,-93.6335953177344,1338,10,5,6,5,2001,2,0,2,2001,8,5,1338,-,1338,4,3,4,213500,225313.12288824527,-11813.12288824527,1818 WATERBURY CIR,StoneBr,fair price
527131030,5664,499,42.06221430156738,-93.63419894544032,1659,10,5,6,5,2000,2,0,2,2000,8,5,1659,-,1501,5,3,4,278000,235958.70716837875,42041.29283162125,4239 STONE BROOKE RD,StoneBr,fair price
527131110,6264,528,42.061503539342155,-93.63353181710463,1682,10,5,6,5,1997,1,1,1,1997,8,5,1682,-,1664,4,3,5,247900,235149.1045892352,12750.895410764788,4207 STONE BROOKE RD,StoneBr,fair price
527132090,7380,495,42.06152173624419,-93.63324758470863,1478,10,5,6,5,1998,2,0,2,1998,8,5,1478,-,1418,3,3,4,240000,227594.6403444871,12405.359655512904,4202 STONE BROOKE RD,StoneBr,fair price
527140090,5395,462,42.06055687660365,-93.63422767405338,1337,10,5,6,5,1993,2,0,2,1993,8,5,1337,-,1337,4,3,4,180000,226554.41321581035,-46554.413215810346,4029 FLETCHER BLVD,StoneBr,fair price
527145080,5005,506,42.060443476745036,-93.63405060531882,1280,10,5,6,5,1992,2,0,2,1992,8,5,1280,-,1280,4,3,4,191500,223480.84295312196,-31980.84295312196,4024 FLETCHER BLVD,StoneBr,fair price
527145090,5070,506,42.06046593912505,-93.63403035217894,1280,10,5,6,5,1992,2,0,2,1992,8,5,1280,-,1280,4,3,4,180000,222801.2984575929,-42801.2984575929,4028 FLETCHER BLVD,StoneBr,fair price
527146010,8013,528,42.06082197543335,-93.6323134790355,1734,10,5,6,5,1995,2,0,2,1996,8,5,1734,-,1587,4,3,4,239500,235179.04170581303,4320.958294186974,4139 STONE BROOKE RD,StoneBr,fair price
527146030,5389,608,42.06078187626982,-93.63219859003297,1616,10,5,6,5,1995,2,0,2,1996,8,5,1616,-,1595,4,3,4,236500,235340.2829171234,1159.7170828765957,4131 STONE BROOKE RD,StoneBr,fair price
527146135,13108,618,42.059775067363496,-93.63117195284555,2687,10,5,6,5,1994,2,1,4,1994,8,5,2079,608,2062,4,3,4,270000,255631.7142091606,14368.285790839407,4019 STONE BROOKE RD,StoneBr,fair price
527158020,8076,402,42.05919,-93.635558,1169,10,5,6,5,1993,2,0,3,1994,6,6,1169,-,1160,3,3,4,183500,213602.23864135676,-30102.23864135676,1911 STONE BROOKE RD,Gilbert,fair price
527158090,10147,398,42.05960509552833,-93.63626510175811,1694,10,5,6,5,1994,2,1,3,1994,6,5,924,770,392,3,3,4,160000,217164.10575138597,-57164.10575138597,3928 BROOKDALE CIR,Gilbert,undervalued
527161010,10839,470,42.05933832133246,-93.63922623608167,1604,10,5,6,5,1997,2,1,3,1998,6,5,926,678,926,3,3,4,181000,218093.45562853798,-37093.45562853798,3839 BERKSHIRE AVE,Gilbert,fair price
527161040,8923,396,42.05923973763154,-93.63926843011136,1382,10,5,6,5,1998,2,1,3,1998,7,5,751,631,384,3,3,4,177500,215650.17041727132,-38150.17041727132,3823 BERKSHIRE AVE,Gilbert,fair price
527161090,8637,451,42.05897712282691,-93.640518123423,1714,10,5,6,5,1999,2,1,3,2000,6,5,947,767,923,3,3,4,180000,222222.03948955634,-42222.03948955634,3842 HYDE AVE,Gilbert,fair price
527162080,7875,420,42.059140477605624,-93.63811811100749,1553,10,5,6,5,1996,2,1,3,1996,7,5,691,862,691,4,3,4,178750,220785.61725214863,-42035.61725214863,3813 EISENHOWER AVE,Gilbert,fair price
527162090,7875,402,42.05911163753795,-93.6381182011327,1253,10,5,6,5,1995,2,0,3,1996,7,5,1253,-,1237,3,3,4,176000,216581.46276874424,-40581.46276874424,3809 EISENHOWER AVE,Gilbert,fair price
527162110,10141,427,42.05912130631692,-93.63902087855888,1718,10,5,6,5,1998,2,1,3,1998,7,5,885,833,832,3,3,4,185000,225694.16024541014,-40694.16024541014,3806 BERKSHIRE AVE,Gilbert,fair price
527162120,7500,440,42.0591486731634,-93.63901993667889,1636,10,5,6,5,1998,2,1,3,1999,6,5,952,684,952,3,3,4,191000,220005.42339470357,-29005.42339470357,3810 BERKSHIRE AVE,Gilbert,fair price
527162130,7500,442,42.05917604000987,-93.63901899479889,1804,10,5,6,5,1999,2,1,3,1999,7,5,1028,776,994,4,3,3,189000,226684.48836155585,-37684.48836155585,3814 BERKSHIRE AVE,Gilbert,fair price
527162140,7500,482,42.059217090279596,-93.6390175819789,2299,10,5,6,5,1999,3,1,5,2003,6,5,957,1342,938,3,3,4,204000,231684.52697825685,-27684.52697825685,3820 BERKSHIRE AVE,Gilbert,fair price
527162180,11184,460,42.05934421119287,-93.63897183030831,1633,10,5,6,5,1998,2,1,3,1998,6,5,932,701,932,3,3,4,183000,218568.58047374035,-35568.58047374035,3840 BERKSHIRE AVE,Gilbert,fair price
527163010,10000,440,42.0585471102701,-93.63697835811374,1655,10,5,6,5,1993,2,1,3,1994,6,5,763,892,763,3,3,4,175900,218431.4542361438,-42531.45423614379,3835 BROOKDALE AVE,Gilbert,fair price
527163020,7685,420,42.0584955988902,-93.63698156802168,1501,10,5,6,5,1993,2,1,3,1994,6,5,697,804,697,4,3,4,165600,216339.01589191586,-50739.01589191586,3831 BROOKDALE AVE,Gilbert,fair price
527163040,7837,380,42.05836682044044,-93.63698959279155,1571,10,5,6,5,1993,2,1,3,1994,6,7,799,772,799,3,3,4,178000,218741.34401694537,-40741.34401694537,3821 BROOKDALE AVE,Gilbert,fair price
527163070,9765,420,42.05813929966258,-93.63702991849178,1470,10,5,6,5,1993,2,1,3,1993,6,8,680,790,680,3,3,4,185000,219024.41340109048,-34024.41340109048,3803 BROOKDALE AVE,Gilbert,fair price
527163080,9556,420,42.058388942264706,-93.6378914226328,1187,10,5,6,5,1992,2,0,3,1993,7,5,1187,-,1168,4,3,4,160000,214547.7480605275,-54547.74806052749,3804 EISENHOWER AVE,Gilbert,undervalued
527163100,8000,431,42.05849882679412,-93.63789226789841,1658,10,5,6,5,1995,2,1,3,1996,6,5,773,885,773,3,3,4,188000,218670.4478659801,-30670.447865980095,3812 EISENHOWER AVE,Gilbert,fair price
527163130,8803,409,42.058718595852945,-93.63789395842964,1516,10,5,6,5,1994,2,1,3,1995,6,5,707,809,707,4,3,4,181316,217078.3715737657,-35762.371573765704,3828 EISENHOWER AVE,Gilbert,fair price
527164020,7250,430,42.05826323456243,-93.63585790740748,1190,10,5,6,5,1993,2,0,3,1993,6,5,1190,-,1181,4,3,4,166000,210968.66447669084,-44968.66447669084,3823 COLUMBINE AVE,Gilbert,fair price
527164060,9636,389,42.058055,-93.635861,1593,10,5,6,5,1992,2,1,3,1993,6,5,808,785,808,3,3,4,178000,217048.90390328263,-39048.903903282626,3801 COLUMBINE AVE,Gilbert,fair price
527164090,8125,343,42.05821273108703,-93.63676940744347,1481,10,5,6,5,1994,2,1,3,1995,6,5,702,779,702,3,3,4,174000,213808.3876605144,-39808.38766051439,3814 BROOKDALE AVE,Gilbert,fair price
527164120,10832,409,42.058439044387654,-93.63675673845938,1895,10,5,6,5,1994,2,1,3,1996,7,5,1086,809,712,4,3,4,194500,228005.49649119304,-33505.496491193044,3832 BROOKDALE AVE,Gilbert,fair price
527165010,14067,416,42.0569344489796,-93.63765912244898,1709,10,5,6,5,1991,2,1,3,1991,6,5,851,858,836,4,3,4,185000,221492.50437122336,-36492.50437122336,2018 TAYLOR CIR,Gilbert,fair price
527165020,10784,402,42.05693463265306,-93.63764908163266,1472,10,5,6,5,1991,2,1,3,1992,7,5,802,670,384,4,3,4,160000,217991.79798808083,-57991.79798808083,2012 TAYLOR CIR,Gilbert,undervalued
527165100,9125,392,42.05779515230231,-93.63787630845324,1482,10,5,6,5,1992,2,1,3,1992,7,5,812,670,384,4,3,4,163900,217700.7273858996,-53800.727385899605,3724 EISENHOWER AVE,Gilbert,fair price
527165130,9248,400,42.05784644125896,-93.63621469149052,1167,10,5,6,5,1992,2,0,3,1992,6,6,1167,-,1158,4,3,4,173000,212350.69247168754,-39350.69247168754,1930 WINDFIELD DR,Gilbert,fair price
527165170,7655,392,42.057411971538116,-93.63599502545436,1642,10,5,6,5,1993,2,1,3,1994,6,5,910,732,903,3,3,4,168000,218096.13918378827,-50096.13918378827,3715 COLUMBINE CIR,Gilbert,fair price
527165230,7980,420,42.057345518899616,-93.63594255697696,1187,10,5,6,5,1992,2,0,3,2007,6,7,1187,-,1168,3,3,4,185000,214151.24826294923,-29151.24826294923,3720 COLUMBINE CIR,Gilbert,fair price
527166010,10762,490,42.05819059134361,-93.63936394715857,1983,10,5,6,5,1999,2,1,3,1999,7,5,1005,978,978,4,3,4,225000,234015.64465496328,-9015.644654963282,2218 WINDFIELD DR,Gilbert,fair price
527166030,9084,462,42.058192197114536,-93.63933664905286,1632,10,5,6,5,1998,2,1,3,1998,7,5,955,677,935,3,3,4,176500,222863.89097486754,-46363.890974867536,2206 WINDFIELD DR,Gilbert,fair price
527166040,8402,393,42.058131505708175,-93.63835771923058,1465,10,5,6,5,1998,2,1,3,1998,6,5,789,676,789,3,3,4,180400,214311.39950491334,-33911.39950491334,2122 WINDFIELD DR,Gilbert,fair price
527175130,18160,480,42.05659525375694,-93.63278756748916,1128,10,5,6,5,1964,1,0,3,1964,6,6,1128,-,1302,3,3,3,154204,216547.01906530932,-62343.019065309316,1711 TOP O HOLLOW RD,Gilbert,undervalued
527180040,10176,506,42.057391,-93.634738,1341,10,5,6,5,1990,1,1,2,1990,7,5,1341,-,1300,4,3,4,171500,221626.55877523022,-50126.55877523022,3629 FLETCHER BLVD,Gilbert,fair price
527180100,11851,500,42.058859,-93.634762,1442,10,5,6,5,1990,2,0,3,1990,7,5,1442,-,1424,3,3,4,180500,221597.09770691206,-41097.097706912056,3817 FLETCHER BLVD,Gilbert,fair price
527182020,3701,461,42.059741775510204,-93.63495514285714,1204,10,5,6,5,1987,2,0,2,1987,8,5,1204,-,1191,3,3,4,130000,218953.04448531746,-88953.04448531746,3916 FLETCHER BLVD,StoneBr,undervalued
527182040,3696,461,42.059742428571425,-93.63497799999999,1088,10,5,6,5,1986,1,1,2,1986,8,5,1088,-,1074,4,3,4,170000,216881.52643262985,-46881.52643262985,3908 FLETCHER BLVD,StoneBr,fair price
527182170,5062,577,42.059300612982,-93.63312900362668,2090,10,5,6,5,1984,2,0,3,1984,7,5,1190,900,1190,4,3,4,207500,237591.3911025306,-30091.391102530586,3908 STONE BROOKE CIR,StoneBr,fair price
527182190,6820,528,42.059273306491,-93.63312500181334,1502,10,5,6,5,1985,1,1,1,1985,8,5,1502,-,1488,4,3,4,212000,230830.58591765686,-18830.585917656863,3904 STONE BROOKE CIR,StoneBr,fair price
527183030,4671,472,42.0610026,-93.6325959,1228,10,5,6,5,1988,2,0,2,1989,8,5,1228,-,1228,4,3,4,189000,224791.9500402024,-35791.95004020241,1527 STONE BROOKE RD,StoneBr,fair price
527183060,5950,462,42.0610026,-93.6325959,1337,10,5,6,5,1989,2,0,2,1989,8,5,1337,-,1337,4,3,4,188500,226041.2534545943,-37541.25345459429,1519 STONE BROOKE RD,StoneBr,fair price
527184020,4740,480,42.0610026,-93.6325959,1179,10,5,6,5,1988,2,0,2,1988,8,5,1179,-,1166,3,3,4,182000,220740.04089719334,-38740.040897193336,1530 STONE BROOKE RD,StoneBr,fair price
527184110,5118,484,42.0610026,-93.6325959,1321,10,5,6,5,1990,1,0,1,1990,8,5,1321,-,1312,4,3,4,212000,226982.798357368,-14982.79835736801,1512 STONE BROOKE RD,StoneBr,fair price
527190050,5306,504,42.0610026,-93.6325959,1767,10,5,6,5,1987,2,0,2,1987,7,7,1064,703,1064,4,4,4,239000,231196.18480703176,7803.815192968235,1608 STONE BROOKE RD,StoneBr,fair price
527190220,6563,564,42.058184,-93.632759,1742,10,5,6,5,1985,2,0,2,1985,8,5,1742,-,1742,4,3,4,275000,239130.33320193517,35869.666798064834,1601 WOODHAVEN CIR,StoneBr,fair price
527208010,13543,683,42.0615751,-93.6291384384083,2500,10,5,6,5,2005,3,1,5,2005,8,5,1168,1332,1168,5,3,5,355000,250271.30402159953,104728.69597840047,1408 EDGEWATER CT,StoneBr,overvalued
527210050,12292,675,42.060522673469386,-93.62919155102041,2473,10,5,6,5,2006,2,1,4,2006,9,5,1102,1371,1094,4,3,5,356383,253890.923853705,102492.076146295,1407 PANORAMIC CT,StoneBr,overvalued
527210060,14157,676,42.060522,-93.629176,1922,10,5,6,5,2005,2,0,3,2006,9,5,1922,-,1922,4,3,5,377426,250176.49500274644,127249.50499725356,1401 PANORAMIC CT,StoneBr,overvalued
527212040,12438,666,42.06057809473684,-93.62884491578947,2576,10,5,6,5,2006,2,1,4,2006,8,5,1264,1312,1234,5,3,5,361919,252016.65717440032,109902.34282559968,4020 EDGEWATER DR,StoneBr,overvalued
527212050,11198,656,42.060552547368424,-93.62885495789475,2504,10,5,6,5,2005,2,1,4,2007,9,5,1134,1370,1122,5,3,4,325000,253732.44709479812,71267.55290520188,4014 EDGEWATER DR,StoneBr,overvalued
527212060,12328,729,42.060527,-93.628865,2541,10,5,6,5,2005,3,1,4,2005,8,5,1164,1377,1149,5,3,5,349265,253700.2504749332,95564.74952506681,4008 EDGEWATER DR,StoneBr,overvalued
527214030,15401,670,42.060110571428574,-93.627926,1884,10,5,6,5,2004,2,0,2,2004,9,5,1884,-,1884,5,3,5,387000,250631.02717412554,136368.97282587446,4013 FRANCES E DAVIS CT,StoneBr,overvalued
527214060,16052,736,42.06007471428571,-93.62771,2698,10,5,6,5,2006,2,1,4,2006,10,5,1850,848,1850,5,3,5,535000,271962.9367056643,263037.0632943357,4008 FRANCES E DAVIS CT,StoneBr,overvalued
527216080,51974,1110,42.06084660866363,-93.62614208665285,2338,10,5,6,5,2006,2,1,4,2007,9,5,2338,-,2660,4,4,5,591587,271966.673308134,319620.326691866,4120 LAURA CT,StoneBr,overvalued
527225035,12134,492,42.060108314509144,-93.62312913893595,1752,10,5,6,5,1988,2,0,4,2005,8,7,1080,672,559,3,3,4,164000,232216.25926368617,-68216.25926368617,4011 DAWES DR,Gilbert,undervalued
527226010,14762,672,42.059266307028636,-93.62217083904109,2320,10,5,6,5,1948,2,0,2,1950,5,6,1547,720,0,3,3,-,169000,226215.74641902972,-57215.74641902972,3906 DAWES DR,Gilbert,undervalued
527226020,31220,495,42.059365782046015,-93.62225303744788,1474,10,5,6,5,1952,1,0,3,1952,6,2,1474,-,1632,3,3,3,115000,221142.9979884845,-106142.99798848451,3920 DAWES DR,Gilbert,undervalued
527226040,41600,828,42.06022015058052,-93.62295726356056,1424,10,5,6,5,1969,1,1,3,1990,5,5,1424,-,1100,3,3,4,155000,219288.78612927033,-64288.78612927033,4014 DAWES DR,Gilbert,undervalued
527250040,34650,572,42.05670899093472,-93.62562088563766,1056,10,5,6,5,1955,1,0,3,1955,5,5,1056,-,1056,3,3,3,145000,211043.79772747698,-66043.79772747698,1121 TOP O HOLLOW RD 1123,Gilbert,undervalued
527252050,8035,556,42.05913879165885,-93.62984648518588,1612,10,5,6,5,2006,2,0,2,2006,9,5,1612,-,1612,5,3,5,319900,239964.6867217765,79935.3132782235,3909 HOOVER AVE,StoneBr,overvalued
527252070,8089,567,42.05789536974548,-93.62985262130675,1419,10,5,6,5,2007,2,0,2,2007,8,6,1419,-,1419,4,3,4,392000,231232.35483176433,160767.64516823567,3817 HOOVER AVE,StoneBr,overvalued
527252080,8118,557,42.05782742605607,-93.62985899498922,1710,10,5,6,5,2007,2,0,2,2007,9,5,1710,-,1710,5,3,5,334000,243472.61855486815,90527.38144513185,3811 HOOVER AVE,StoneBr,overvalued
527252090,8147,517,42.05778268719642,-93.62986759861607,1714,10,5,6,5,2005,2,0,2,2005,9,5,1714,-,1714,4,3,5,318000,243329.865286541,74670.134713459,3807 HOOVER AVE,StoneBr,overvalued
527254020,11844,834,42.05985571428571,-93.62815914285714,2046,10,5,6,5,2008,2,1,3,2008,8,5,2046,-,2046,4,3,5,372500,245330.38005126256,127169.61994873744,1214 ADAMS ST,StoneBr,overvalued
