,GrLivArea,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,crime_rate,school_quality,HouseAge,LastRemod,nb_appreciation,nb_income,PID,SalePrice
10,1342,120,5,48.0,6240,1,1,3,3,0,4,0,19,2,2,4,2,8,5,2006,2007,3,0,8,8,1,196.0,2,4,2,4,3,1,6,24.0,1,0.0,1318.0,1342.0,1,0,1,3,1342,0,0,0.0,0.0,2,0,2,1,2,6,6,1,4,1,2006.0,2,2.0,550.0,3,3,2,0,35,0,0,0,0,0,0,1,0,2,2008,9,4,5,10,2,1,6,5,528186170,219500
11,1274,60,5,63.0,10475,1,1,3,3,0,4,0,14,2,2,0,5,5,5,1991,1991,1,0,6,6,2,0.0,3,4,2,4,3,1,3,458.0,1,0.0,166.0,624.0,1,2,1,3,624,650,0,0.0,0.0,1,1,3,1,4,6,6,0,0,5,1991.0,1,2.0,576.0,3,3,2,22,0,0,0,0,0,0,2,1,0,3,2010,9,4,3,6,19,19,3,6,923426070,136000
12,861,30,6,62.0,7404,1,1,3,3,0,0,0,20,2,2,0,2,4,6,1920,1950,1,0,8,8,2,0.0,3,4,0,2,3,1,1,0.0,1,0.0,861.0,861.0,1,4,1,3,861,0,0,0.0,0.0,1,0,2,1,4,5,6,0,0,5,1920.0,1,2.0,288.0,3,3,0,0,0,128,0,0,0,0,0,1,0,11,2009,7,4,0,5,89,59,5,6,902204080,80000
13,1394,20,5,0.0,9500,1,1,0,3,0,4,0,15,2,2,0,2,6,5,1963,1963,1,0,9,9,1,247.0,3,4,1,4,3,1,4,609.0,1,0.0,785.0,1394.0,1,2,1,3,1394,0,0,1.0,0.0,1,1,3,1,4,6,6,2,4,1,1963.0,2,2.0,514.0,3,3,2,0,76,0,0,185,0,0,0,1,0,7,2009,9,4,1,5,46,46,4,2,535105100,159000
14,1536,20,5,70.0,9135,1,1,3,3,0,4,0,5,2,2,0,2,7,5,2002,2003,1,0,12,13,1,113.0,2,4,2,4,3,4,6,810.0,1,0.0,726.0,1536.0,1,0,1,3,1536,0,0,1.0,0.0,2,0,3,1,2,7,6,0,0,1,2002.0,2,2.0,532.0,3,3,2,192,74,0,0,0,0,0,0,1,0,12,2008,9,4,1,3,6,5,9,7,907405020,214000
15,1680,60,5,50.0,8480,1,1,0,3,0,4,0,23,2,2,0,5,6,5,1993,1994,1,0,6,6,1,120.0,2,4,2,4,3,1,6,602.0,1,0.0,284.0,886.0,1,0,1,3,886,794,0,0.0,1.0,2,1,3,1,2,7,6,0,0,1,1993.0,2,2.0,474.0,3,3,2,144,96,0,0,0,0,0,0,1,0,10,2008,9,4,5,2,15,14,5,5,531382110,163000
16,1274,20,5,68.0,8814,1,1,3,3,0,4,0,5,2,2,0,2,7,5,2005,2007,1,0,12,13,1,80.0,2,4,2,4,3,1,6,925.0,1,0.0,349.0,1274.0,1,0,1,3,1274,0,0,1.0,0.0,2,0,3,1,2,6,6,0,0,1,2005.0,2,2.0,508.0,3,3,2,264,98,0,0,0,0,0,0,1,0,1,2007,6,5,1,3,2,0,9,7,906380120,203000
17,864,30,5,45.0,8248,1,0,3,3,0,4,0,7,2,2,0,2,3,3,1914,1950,1,0,11,12,2,0.0,3,4,0,3,3,1,4,41.0,1,0.0,823.0,864.0,1,4,0,1,864,0,0,1.0,0.0,1,0,2,1,4,5,6,0,0,6,0.0,0,0.0,0.0,0,0,0,0,0,100,0,0,0,0,0,1,0,9,2008,9,4,1,4,94,58,6,7,909101060,67000
18,1610,20,5,0.0,10603,1,1,0,3,0,4,0,17,2,2,0,2,6,7,1977,2001,1,0,9,9,1,28.0,3,4,2,3,3,2,5,1200.0,1,0.0,410.0,1610.0,1,2,1,3,1610,0,0,1.0,0.0,2,0,3,1,2,6,6,2,3,1,1977.0,2,2.0,480.0,3,3,2,168,68,0,0,0,0,0,0,1,0,2,2010,9,4,1,6,33,9,2,6,534152050,205000
19,1091,80,5,62.0,7706,1,1,3,3,0,4,0,14,2,2,0,7,6,5,1993,1996,1,0,6,6,2,0.0,3,2,1,4,3,4,3,114.0,6,270.0,0.0,384.0,1,0,1,3,1091,0,0,0.0,1.0,1,0,2,1,4,5,6,0,0,1,1993.0,3,2.0,429.0,3,3,2,280,0,0,0,0,0,0,0,3,700,8,2009,9,4,3,6,16,13,3,6,923252075,131250
20,1486,20,5,65.0,7441,1,1,0,3,0,4,0,23,2,2,0,2,7,5,2006,2006,1,0,12,13,1,170.0,2,4,2,4,3,1,1,0.0,1,0.0,1461.0,1461.0,1,0,1,3,1486,0,0,0.0,0.0,2,0,3,1,2,7,6,0,0,1,2006.0,2,2.0,566.0,3,3,2,0,32,0,0,0,0,0,0,1,0,6,2007,9,4,5,2,1,1,5,5,531376060,181000
21,789,20,6,50.0,6000,1,1,3,3,0,4,0,20,2,2,0,2,5,5,1948,1950,1,0,12,13,2,0.0,3,4,1,3,3,1,5,104.0,4,169.0,516.0,789.0,1,0,1,3,789,0,0,0.0,0.0,1,0,2,1,4,5,6,0,0,5,1948.0,1,2.0,250.0,3,3,2,0,0,0,0,0,0,0,0,1,0,4,2008,9,5,0,5,60,58,5,6,902201120,115000
22,1092,160,6,21.0,1477,1,1,3,3,0,4,0,13,2,2,3,5,6,9,1970,2007,1,0,5,5,2,0.0,3,2,1,3,3,1,6,358.0,1,0.0,188.0,546.0,1,0,1,3,546,546,0,0.0,0.0,2,1,3,1,4,6,6,0,0,6,0.0,0,0.0,0.0,0,0,2,187,0,0,0,0,0,0,0,1,0,3,2008,9,4,3,6,38,1,3,6,923228080,98000
23,2640,70,6,65.0,11700,1,2,0,3,0,0,0,20,2,2,0,5,7,7,1880,2003,4,0,11,12,2,0.0,2,4,4,3,2,1,1,0.0,1,0.0,1240.0,1240.0,2,4,0,3,1320,1320,0,0.0,0.0,1,1,4,1,2,8,6,1,4,5,1880.0,1,2.0,864.0,3,3,0,181,0,386,0,0,0,0,0,1,0,5,2009,9,4,0,5,129,6,5,6,902326030,265979
24,1092,160,6,21.0,1680,1,1,3,3,0,4,0,2,2,2,3,5,5,5,1971,1971,1,0,6,6,1,492.0,3,4,1,3,3,1,3,300.0,1,0.0,225.0,525.0,1,4,1,3,525,567,0,0.0,0.0,1,1,3,1,4,6,6,0,0,5,1971.0,1,2.0,320.0,3,3,2,0,0,0,0,0,0,0,0,1,0,3,2010,9,4,1,6,39,39,2,6,527451330,105500
25,1458,60,5,58.0,13204,1,1,0,3,0,4,0,8,6,2,0,5,7,5,2006,2007,1,0,12,13,3,44.0,3,4,2,4,3,1,1,0.0,1,0.0,608.0,608.0,1,0,1,3,608,850,0,0.0,0.0,2,0,3,1,2,6,6,0,0,3,2006.0,3,2.0,454.0,3,3,2,100,33,0,0,0,0,0,0,1,0,5,2007,6,5,5,10,1,0,6,5,528218100,168165
26,1466,20,5,73.0,8925,1,1,0,1,0,4,0,26,2,2,0,2,8,5,2007,2007,1,0,12,13,2,0.0,2,4,2,4,3,4,6,16.0,1,0.0,1450.0,1466.0,1,0,1,3,1466,0,0,0.0,0.0,2,0,3,1,2,7,6,0,0,1,2007.0,3,2.0,610.0,3,3,2,100,18,0,0,0,0,0,0,1,0,7,2009,9,4,3,6,2,2,3,6,916386140,201000
27,1573,160,2,0.0,2117,1,1,3,3,0,4,0,24,2,2,3,5,6,5,2000,2000,1,0,8,8,1,216.0,2,4,2,4,3,1,6,378.0,1,0.0,378.0,756.0,1,0,1,3,769,804,0,0.0,0.0,2,1,3,1,2,5,6,0,0,5,2000.0,1,2.0,440.0,3,3,2,0,32,0,0,0,0,0,0,1,0,6,2010,9,4,6,7,10,10,9,5,533221090,177500
28,2090,60,5,0.0,10382,1,1,0,3,0,0,0,17,4,2,0,5,7,6,1973,1973,1,0,6,6,3,240.0,3,4,1,4,3,2,5,859.0,4,32.0,216.0,1107.0,1,0,1,3,1107,983,0,1.0,0.0,2,1,3,1,4,7,6,2,3,1,1973.0,2,2.0,484.0,3,3,2,235,204,228,0,0,0,0,0,3,350,11,2009,9,4,1,6,36,36,2,6,534128010,200000
29,2046,20,5,105.0,15431,1,1,3,3,0,4,0,19,2,2,0,2,10,5,2005,2006,3,0,12,13,1,400.0,0,4,2,5,3,3,6,1430.0,1,0.0,564.0,1994.0,1,0,1,3,2046,0,0,1.0,0.0,2,1,2,1,0,7,6,2,4,1,2005.0,3,2.0,878.0,3,3,2,188,65,0,0,175,0,0,0,1,0,8,2007,9,4,5,10,2,1,6,5,528106110,450000
30,886,30,6,50.0,5784,1,1,3,3,0,4,0,20,0,2,0,2,5,8,1938,1996,1,0,8,8,2,0.0,3,4,0,2,3,1,1,0.0,1,0.0,190.0,190.0,1,2,1,0,886,0,0,0.0,0.0,1,0,2,1,4,4,6,0,0,1,1938.0,1,2.0,273.0,3,3,2,144,20,80,0,0,0,0,0,1,0,12,2009,9,4,0,5,71,13,5,6,902206260,91300
31,1258,20,5,64.0,7697,1,1,3,3,0,4,0,8,2,2,0,2,7,6,2007,2007,1,0,12,13,2,0.0,2,4,2,4,3,1,1,0.0,1,0.0,1246.0,1246.0,1,0,1,3,1258,0,0,0.0,0.0,2,0,3,1,2,6,6,0,0,1,2007.0,2,2.0,462.0,3,3,2,0,0,0,0,0,0,0,0,1,0,8,2007,6,5,5,10,0,0,6,5,528222090,173500
32,1324,20,5,100.0,18494,1,1,0,3,0,0,0,8,2,2,0,2,6,5,2005,2005,1,0,12,13,2,0.0,2,4,2,4,3,1,1,0.0,1,0.0,1324.0,1324.0,1,0,1,3,1324,0,0,0.0,0.0,2,0,3,1,2,6,6,0,0,1,2005.0,3,2.0,430.0,3,3,2,36,23,0,0,0,0,0,0,1,0,1,2010,9,4,5,10,5,5,6,5,528218150,199500
33,1848,50,5,64.0,13053,1,2,3,0,0,4,0,3,2,2,0,0,6,7,1923,2000,2,0,13,14,2,0.0,3,4,0,3,3,1,1,0.0,1,0.0,833.0,833.0,1,2,1,3,1053,795,0,0.0,0.0,1,1,4,1,2,8,6,1,4,5,1923.0,1,2.0,370.0,3,3,0,0,0,0,0,220,0,0,0,1,0,6,2008,9,4,0,5,85,8,5,6,903400180,207000
34,1269,20,5,70.0,7931,1,1,3,3,0,4,0,15,2,2,0,2,5,6,1960,1960,1,0,3,14,2,0.0,3,4,1,3,3,1,4,374.0,2,532.0,363.0,1269.0,1,4,1,0,1269,0,0,0.0,0.0,1,1,3,1,4,6,6,1,2,5,1960.0,1,2.0,308.0,3,3,2,0,0,0,0,0,0,0,0,1,0,6,2008,9,4,1,5,48,48,4,2,535453210,155000
35,1346,20,5,88.0,11896,1,1,0,3,0,0,0,26,2,2,0,2,7,5,2008,2008,1,0,12,13,3,60.0,2,4,2,4,3,1,6,78.0,1,0.0,1258.0,1336.0,1,0,1,3,1346,0,0,1.0,0.0,2,0,3,1,2,6,6,1,3,1,2008.0,3,2.0,660.0,3,3,2,100,48,0,0,0,0,0,0,1,0,5,2010,9,4,3,6,2,2,3,6,916386010,220000
36,1749,60,5,68.0,9272,1,1,0,3,0,4,0,5,2,2,0,5,7,5,1999,1999,1,0,12,13,2,0.0,2,4,2,4,3,1,6,500.0,1,0.0,342.0,842.0,1,0,1,3,856,893,0,0.0,0.0,2,1,3,1,2,7,6,0,0,1,1999.0,2,2.0,515.0,3,3,2,140,85,0,0,0,0,0,0,1,0,6,2006,9,4,1,3,7,7,9,7,907181090,196000
37,492,30,6,52.0,7830,1,1,3,3,0,4,0,20,2,2,0,2,3,5,1921,1950,1,0,0,0,2,0.0,3,4,0,2,3,1,2,416.0,1,0.0,76.0,492.0,1,4,1,3,492,0,0,1.0,0.0,1,0,1,1,4,3,6,0,0,5,1921.0,1,2.0,200.0,2,3,0,0,0,78,0,0,0,0,0,1,0,6,2006,9,4,0,5,85,56,5,6,902206020,61500
38,2030,60,5,0.0,12046,1,1,0,3,0,4,0,17,2,2,0,5,6,6,1976,1976,1,0,9,9,1,298.0,3,4,1,3,3,1,2,156.0,1,0.0,692.0,848.0,1,4,1,3,1118,912,0,0.0,0.0,2,1,4,1,2,8,6,1,3,1,1976.0,3,2.0,551.0,3,3,2,0,224,0,0,0,0,0,0,1,0,6,2007,9,4,1,6,31,31,2,6,527327050,195000
39,988,20,5,65.0,7150,1,1,3,3,0,4,0,15,2,2,0,2,5,6,1966,1966,3,0,6,6,1,52.0,3,4,1,3,3,1,4,725.0,1,0.0,263.0,988.0,1,4,1,3,988,0,0,1.0,0.0,1,0,3,1,4,5,6,0,0,5,1966.0,1,2.0,360.0,3,3,2,0,0,0,0,0,0,0,0,1,0,11,2007,9,4,1,5,41,41,4,2,527455250,129250
40,2172,60,5,0.0,11000,1,1,3,3,0,2,0,18,2,2,0,5,9,5,2000,2000,3,0,12,13,1,295.0,2,4,2,5,3,2,1,0.0,1,0.0,1519.0,1519.0,1,0,1,3,1533,639,0,0.0,0.0,2,1,4,1,0,8,6,1,3,3,2000.0,2,2.0,687.0,3,3,2,162,153,0,0,0,0,0,0,1,0,6,2008,9,4,6,7,8,8,9,5,528326110,291000
41,1080,20,5,71.0,9187,1,1,3,0,0,0,0,14,2,2,0,2,6,5,1983,1983,1,0,12,13,2,0.0,3,2,2,3,3,1,5,336.0,1,0.0,748.0,1084.0,1,4,1,3,1080,0,0,0.0,0.0,1,1,3,1,4,5,6,0,0,1,1983.0,1,2.0,484.0,3,3,2,120,0,158,0,0,0,0,0,1,0,6,2007,9,4,3,6,24,24,3,6,914452190,134000
42,1312,20,5,76.0,11355,1,1,0,3,0,0,0,15,2,2,0,2,7,7,1958,2001,1,4,6,6,1,125.0,3,4,1,3,3,1,4,637.0,1,0.0,675.0,1312.0,1,0,1,3,1312,0,0,0.0,0.0,1,1,3,1,4,6,6,1,4,1,1958.0,2,2.0,495.0,3,3,2,0,304,144,0,0,0,0,3,2,6500,4,2008,9,4,1,5,50,7,4,2,535425060,186000
43,925,20,5,0.0,8638,1,1,0,3,0,4,0,22,5,2,0,2,5,6,1963,1963,1,0,6,6,2,0.0,3,4,2,3,3,1,5,181.0,1,0.0,744.0,925.0,1,2,1,3,925,0,0,1.0,0.0,1,0,2,1,4,5,6,0,0,5,1963.0,1,2.0,484.0,3,3,2,203,74,0,0,0,0,0,0,1,0,10,2006,9,4,5,2,43,43,5,5,532376250,133500
44,1534,70,5,60.0,10800,1,0,3,3,0,4,0,20,2,2,0,5,5,9,1895,1999,1,0,13,6,2,0.0,3,2,1,4,3,4,1,0.0,1,0.0,736.0,736.0,1,0,1,3,751,783,0,0.0,0.0,1,1,3,1,2,6,6,0,0,6,0.0,0,0.0,0.0,0,0,0,0,112,0,0,0,0,0,0,1,0,7,2007,9,4,0,5,112,8,5,6,535379110,148000
45,2376,60,5,101.0,14215,1,1,0,3,0,0,0,19,2,2,0,5,8,5,2005,2006,1,0,12,13,1,380.0,2,4,2,5,3,4,1,0.0,1,0.0,1158.0,1158.0,1,0,1,3,1158,1218,0,0.0,0.0,3,1,4,1,2,9,6,1,4,3,2005.0,2,2.0,853.0,3,3,2,240,154,0,0,0,0,0,0,1,0,11,2006,6,5,5,10,1,0,6,5,528118010,325300
46,1959,60,5,59.0,11796,1,1,0,3,0,4,0,8,2,2,0,5,7,5,2004,2005,1,0,12,13,2,0.0,2,4,2,4,3,4,1,0.0,1,0.0,847.0,847.0,1,0,1,3,847,1112,0,0.0,0.0,2,1,4,1,2,8,6,1,4,3,2004.0,3,2.0,434.0,3,3,2,100,48,0,0,0,0,0,0,1,0,7,2007,9,4,5,10,3,2,6,5,528235160,215000
47,1716,50,5,60.0,11409,1,1,3,3,0,4,0,7,2,2,0,0,5,4,1949,2008,1,0,13,14,2,0.0,3,4,1,3,3,1,2,292.0,1,0.0,476.0,768.0,1,2,1,3,1148,568,0,0.0,0.0,1,1,3,1,4,8,3,1,4,1,1949.0,1,2.0,281.0,3,3,2,0,0,0,0,160,0,0,0,1,0,1,2009,9,4,1,4,60,1,6,7,905478030,131000
48,936,30,6,56.0,4485,1,0,3,3,0,4,0,20,0,2,0,2,5,7,1920,1950,1,0,13,14,2,0.0,3,4,2,3,3,1,4,579.0,1,0.0,357.0,936.0,1,4,1,3,936,0,0,1.0,0.0,1,0,2,1,4,5,6,1,4,6,0.0,0,0.0,0.0,0,0,1,51,0,135,0,0,0,0,3,1,0,5,2010,9,4,0,5,90,60,5,6,902106130,109500
49,1230,50,6,60.0,10440,1,0,3,3,0,0,0,20,2,2,0,5,5,6,1910,1981,1,0,13,14,2,0.0,3,4,2,3,3,1,1,0.0,1,0.0,440.0,440.0,1,2,1,3,682,548,0,0.0,0.0,1,1,2,1,4,5,6,0,0,5,1910.0,1,2.0,440.0,3,3,2,74,0,128,0,0,0,0,3,1,0,5,2009,9,4,0,5,99,28,5,6,902102080,110000
50,2592,90,5,60.0,10890,1,1,3,3,0,4,0,21,2,2,2,5,5,6,1923,1950,3,0,13,9,2,0.0,3,4,2,3,3,2,3,371.0,1,0.0,925.0,1296.0,3,1,0,0,1296,1296,0,2.0,0.0,2,0,6,2,4,12,3,0,0,6,0.0,0,0.0,0.0,0,0,2,0,742,240,0,0,0,0,0,3,1512,1,2007,9,1,5,2,84,57,7,3,909176170,150000
51,1565,120,2,32.0,3784,1,2,0,3,0,4,0,24,2,2,4,2,8,5,2006,2007,1,0,12,13,3,36.0,2,4,2,4,3,1,6,60.0,1,0.0,1451.0,1511.0,1,0,1,3,1565,0,0,1.0,0.0,2,0,2,1,2,5,6,0,0,1,2006.0,3,2.0,476.0,3,3,2,0,120,0,0,0,0,0,0,1,0,2,2007,6,5,6,7,1,0,9,5,533206070,193800
52,1868,80,5,78.0,12090,1,1,3,3,0,4,0,17,2,2,0,7,6,7,1984,2003,3,0,12,13,1,74.0,3,4,1,4,3,1,1,0.0,1,0.0,585.0,585.0,1,0,1,3,1140,728,0,0.0,0.0,3,1,3,1,4,7,6,1,3,3,1984.0,3,2.0,477.0,3,3,2,268,112,0,0,147,0,0,0,1,0,1,2007,9,0,1,6,23,4,2,6,527302020,178000
53,1422,20,5,63.0,8500,1,1,3,3,0,2,0,5,2,2,0,2,7,5,2004,2004,1,0,12,13,1,106.0,2,4,2,4,3,4,1,0.0,1,0.0,1422.0,1422.0,1,0,1,3,1422,0,0,0.0,0.0,2,0,3,1,2,7,6,0,0,1,2004.0,2,2.0,626.0,3,3,2,192,60,0,0,0,0,0,0,1,0,11,2007,9,4,1,3,3,3,9,7,907414060,179600
54,1200,90,5,60.0,10800,1,1,3,3,0,4,0,7,2,2,2,2,5,5,1987,1988,1,0,9,9,2,0.0,3,4,1,4,4,3,6,1200.0,1,0.0,0.0,1200.0,1,4,1,3,1200,0,0,3.0,0.0,3,0,3,1,4,5,6,0,0,6,0.0,0,0.0,0.0,0,0,2,120,0,0,0,0,0,0,0,1,0,3,2009,9,2,1,4,22,21,6,7,904301060,179000
55,1641,50,5,70.0,10759,1,1,3,3,0,0,0,22,1,2,0,0,5,4,1972,1972,1,0,6,6,2,0.0,3,2,1,4,3,1,2,190.0,5,811.0,0.0,1001.0,1,4,1,3,1001,640,0,0.0,0.0,2,0,4,1,4,5,6,1,4,5,1972.0,1,2.0,490.0,3,3,2,0,0,92,0,0,0,0,4,1,0,7,2008,9,4,5,2,36,36,5,5,532479020,140000
56,1973,20,5,110.0,14226,1,1,3,3,0,0,0,19,2,2,0,2,8,5,2006,2006,3,0,12,13,1,375.0,2,4,2,4,3,4,1,0.0,1,0.0,1935.0,1935.0,1,2,1,3,1973,0,0,0.0,0.0,2,0,3,1,2,9,6,1,4,1,2006.0,3,2.0,895.0,3,3,2,315,45,0,0,0,0,0,0,1,0,7,2007,6,5,5,10,1,1,6,5,528110070,395000
57,1248,20,5,80.0,10800,1,1,3,3,0,4,0,15,2,2,0,2,5,7,1960,1960,3,0,13,14,1,88.0,3,4,1,3,3,1,5,632.0,1,0.0,616.0,1248.0,1,0,1,3,1248,0,0,1.0,0.0,1,0,3,1,4,6,6,0,0,1,1960.0,1,2.0,286.0,3,3,2,0,0,0,0,0,0,0,3,1,0,5,2006,9,4,1,5,46,46,4,2,534429130,151500
58,2418,60,5,96.0,10542,1,1,3,3,0,4,0,18,2,2,0,5,7,5,1993,1994,3,0,13,7,1,651.0,2,4,2,4,3,3,6,1173.0,1,0.0,138.0,1311.0,1,0,1,3,1325,1093,0,1.0,0.0,2,1,3,1,2,9,6,1,3,1,1993.0,2,2.0,983.0,3,3,2,250,154,216,0,0,0,0,0,1,0,8,2008,9,4,6,7,15,14,9,5,528365060,341000
59,1755,60,5,0.0,11949,1,1,3,3,0,4,0,18,2,2,0,5,7,8,1991,2008,1,0,12,13,1,196.0,2,2,2,4,3,1,6,601.0,5,216.0,158.0,975.0,1,0,1,3,975,780,0,0.0,1.0,2,1,3,1,2,7,6,1,3,1,1991.0,1,2.0,524.0,3,3,2,502,60,0,0,0,0,0,4,1,0,7,2009,9,4,6,7,18,1,9,5,533135020,235000
60,672,30,6,61.0,8534,1,1,3,2,0,4,0,11,2,2,0,2,4,4,1925,1950,1,0,13,14,2,0.0,3,4,0,2,3,1,1,0.0,1,0.0,432.0,432.0,1,4,0,0,672,0,0,0.0,0.0,1,0,2,1,4,4,2,0,0,6,0.0,0,0.0,0.0,0,0,0,0,0,112,0,0,0,0,2,1,0,6,2006,9,4,0,6,81,56,3,6,910203100,72000
